trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.1587932912577005,-4.24839273261276
20100309,0.7595259168746707,-6.395197387462902
20100310,1.5221767788354705,-12.486085731082552
20100311,2.3782067237984434,-18.281981271723662
20100312,2.779144611329102,-25.539347982301734
20100315,4.022826952040481,-45.25811379236639
20100316,4.534946964511738,-62.23668906742736
20100317,4.2740863657317565,-71.1448164596677
20100318,4.873698586679524,-76.52297983402224
20100319,4.841852965238028,-81.27330772950306
20100322,5.642421782209134,-83.49333133100848
20100323,6.7591939133535535,-84.38261098105725
20100324,7.423363190170853,-87.12053653009703
20100325,7.937806219762918,-87.46464988332414
20100326,7.409623819205513,-89.1776978423603
20100329,6.995052083202063,-90.75802495588763
20100330,6.267823386703602,-96.4706097760209
20100331,6.300697540943697,-100.48155334118442
20100401,6.052960651927257,-85.18315484387966
20100402,6.04194542341832,-71.70390306342198
20100406,5.42617238177699,-60.89441071871623
20100407,4.973909302117435,-51.40892299210418
20100408,5.758875171179479,-50.28109066978367
20100409,7.491173446665307,-51.70949568080707
20100412,13.788789296577846,-52.737376379478796
20100413,20.627918147529403,-53.65762014270759
20100414,27.08747996079297,-54.40907704414374
20100415,35.02001506600767,-53.93306082898525
20100416,43.29866226498609,-52.631646717120766
20100419,43.13059977856444,-58.46164324352574
20100420,38.36238237831538,-63.55943779948856
20100421,34.165401981035004,-67.46533683653954
20100422,30.474906789873124,-71.86819605552293
20100423,27.183596273987018,-74.82937740136343
20100426,23.88126279921466,-79.86491299243293
20100427,12.696099081032516,-81.11298816465167
20100428,2.171704082797018,-81.91669179019658
20100429,-6.330266175834089,-82.78380316684833
20100430,-13.808212997202453,-83.88074237781079
20100504,-18.93874428723874,-83.01568126771285
20100505,-21.62345220694984,-81.34119551014189
20100506,-23.284286716214368,-80.15941574579296
20100507,-23.43388038226622,-77.39149070326317
20100510,-19.596839762855538,-72.92872586345214
20100511,-15.626066737741427,-69.36427086781416
20100512,-13.150771618137465,-67.4943083701162
