trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,4.121005785667671e-07,8.841648342402304e-07
20100223,7.46347306821839e-07,1.5859277918805433e-06
20100224,1.0184993718030654e-06,2.2491438979235366e-06
20100225,1.2415127503235081e-06,2.7847115488667605e-06
20100226,1.4344655093279035e-06,3.367409955424884e-06
20100301,1.5636873244142145e-06,3.926697739773164e-06
20100302,1.6710379353526387e-06,4.484074646577249e-06
20100303,1.7456292327779039e-06,4.933572473222714e-06
20100304,1.8066120540260421e-06,5.639974720143989e-06
20100305,1.8785242408112097e-06,6.41493096567278e-06
20100308,1.9454476494683677e-06,7.087590144196882e-06
20100309,1.9919032748811444e-06,7.645684551665831e-06
20100310,2.0377718449652247e-06,8.222022803159428e-06
20100311,2.1097132688806624e-06,8.784681795337644e-06
20100312,2.2139869450146713e-06,9.379619483962555e-06
20100315,2.2846967323772866e-06,9.768196847365103e-06
20100316,2.3400609758082056e-06,1.0105453840443136e-05
20100317,2.410902216204916e-06,1.0465623313225035e-05
20100318,2.4534742859770158e-06,1.0665243791853128e-05
20100319,2.4884920770513547e-06,1.0827512949416896e-05
20100322,2.6042314798309337e-06,1.1047087407675506e-05
20100323,2.6976756442747645e-06,1.1262674952704041e-05
20100324,2.769513525014226e-06,1.1471363919277018e-05
20100325,2.802915445211083e-06,1.1606883552834724e-05
20100326,2.8061937288587716e-06,1.1638387140550123e-05
20100329,2.8931076491314625e-06,1.172845810906165e-05
20100330,3.019903785550051e-06,1.2018839999282372e-05
20100331,3.0953708318633233e-06,1.2347417725944108e-05
20100401,3.141733898241882e-06,1.264786567045886e-05
20100402,3.1534759860969555e-06,1.2915248109695033e-05
20100406,3.0637096329982133e-06,1.3281475570470747e-05
20100407,2.9957744537228153e-06,1.3644389337808114e-05
20100408,2.923904728226173e-06,1.3831241567181301e-05
20100409,2.9149939835768255e-06,1.4102423084520622e-05
20100412,2.902354382328287e-06,1.3985328780897224e-05
20100413,2.893902416291832e-06,1.3879880209311253e-05
20100414,2.854121091377957e-06,1.3574653338364857e-05
20100415,2.8483436626713343e-06,1.3270545801989686e-05
20100416,2.8601319170161982e-06,1.3132967147474051e-05
20100419,2.797413566253334e-06,1.2615057655687122e-05
