trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,0.0,0.0
20100323,0.0,0.0
20100324,0.0,0.0
20100325,0.0,0.0
20100326,0.0,0.0
20100329,0.0,0.0
20100330,0.0,0.0
20100331,0.0,0.0
20100401,0.0,0.0
20100402,13.609957910454236,-22.86712707850676
20100406,25.004179479044264,-42.44506674255969
20100407,34.41947973452292,-59.09000088939847
20100408,41.512085966855565,-72.46398204276629
20100409,48.20261560627232,-83.797846270104
20100412,53.667670811066024,-91.36824851925152
20100413,59.26930550155237,-99.86384878615947
20100414,63.89202737863676,-106.64919795789301
20100415,35.53477464863353,-112.75866536418474
20100416,11.906367295387735,-118.67702910787888
20100419,-3.7884208293695742,-117.64082476032272
20100420,-16.64209022443071,-116.84349286458315
20100421,-27.15686622945471,-116.31005621208651
20100422,-35.75843570074404,-115.93141069472564
20100423,-42.78893991670947,-116.04985576357686
20100426,-48.54810014114274,-117.03578525894932
20100427,-54.723720812169105,-117.3167500540549
20100428,-57.31248891683698,-114.88575537456624
20100429,-59.32589009391718,-112.80293025314265
20100430,-61.448985485133434,-111.06851751091325
20100504,-63.41684681448172,-109.6577381836878
20100505,-64.63360493637207,-108.6015152112417
20100506,-65.4942184722773,-107.68496958563054
20100507,-65.72181649433406,-105.79602827538817
20100510,-64.0714065856751,-103.03967329891806
20100511,-62.63814592057567,-101.82136047012943
20100512,-61.37927035260407,-100.84114820691948
20100513,-60.10051270505288,-99.92954506959204
20100514,-59.0727990123136,-99.1982617793177
20100517,-57.064989161516216,-94.71110803095983
20100518,-55.893878721156455,-91.87186929188312
20100519,-55.13226635082979,-89.93832923819647
20100520,-54.239065787130926,-88.2729233479567
20100521,-53.50972982032642,-86.91079405687832
20100524,-52.280846599254936,-84.9556042448687
