Strategy/Factor Name,Robust Params,Rank,RAW_Sharpe,RAW_POT,SM_Sharpe,SM_POT
Kurtosis,{'N': 30},1,0.2662,11.9794,0.1222,3.1927
Kurtosis,{'N': 40},2,0.2351,12.3136,0.0676,2.054
Kurtosis,{'N': 20},3,0.1565,5.1014,0.0777,1.6334
OvernightVsIntraday,{'N': 20},1,0.5822,20.2948,0.7766,17.9138
OvernightVsIntraday,{'N': 10},2,0.5688,15.4805,0.6452,11.4396
OvernightVsIntraday,{'N': 60},3,0.2552,11.1872,0.3794,11.3632
Skewness,{'N': 20},1,0.4476,12.8001,0.3006,6.7574
Skewness,{'N': 30},2,0.4443,15.5985,0.3689,9.1367
Skewness,{'N': 40},3,0.3622,14.2402,0.2913,8.0055
NoiseFader,{'N': 60},1,-0.3598,-10.426,-0.3708,-11.6358
NoiseFader,{'N': 50},2,-0.4476,-12.6579,-0.4716,-14.5826
NoiseFader,{'N': 40},3,-0.6948,-19.2903,-0.7077,-21.9669
ShortTermReversal,{'N': 60},1,-0.2094,-11.357,-0.3708,-11.6358
ShortTermReversal,{'N': 50},2,-0.316,-16.4815,-0.4716,-14.5826
ShortTermReversal,{'N': 40},3,-0.4273,-22.1392,-0.7077,-21.9669
AmihudIlliquidity,{'N': 60},1,-0.286,-12.9982,0.2211,10.0981
AmihudIlliquidity,{'N': 50},2,-0.3023,-13.8739,0.2257,10.2934
AmihudIlliquidity,{'N': 10},3,-0.3121,-13.0155,0.2179,9.932
BuyingSellingPressure,{'N': 30},1,0.5417,18.3804,0.401,10.3744
BuyingSellingPressure,{'N': 20},2,0.5295,16.1435,0.4911,11.5633
BuyingSellingPressure,{'N': 40},3,0.4127,14.5607,0.3503,9.4356
BollingerBands,{'N': 60},1,0.6251,27.3452,0.6251,27.3452
BollingerBands,{'N': 50},2,0.5882,23.1018,0.5882,23.1018
BollingerBands,{'N': 20},3,0.576,15.4145,0.576,15.4145
DonchianChannel,{'N': 30},1,0.88,25.7295,0.864,22.6178
DonchianChannel,{'N': 40},2,0.8677,28.1567,0.9119,26.0974
DonchianChannel,{'N': 20},3,0.8245,21.4055,0.8664,20.236
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",1,0.4845,19.5714,0.8153,20.2487
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",2,0.4685,23.9616,0.8348,26.7581
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",3,0.3876,19.5117,0.7864,25.4387
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,0.3783,19.1516,0.9623,28.7344
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,0.3062,12.921,0.9245,23.2847
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",3,0.2172,8.2061,0.6681,13.9377
MovingAverageBias,{'N': 40},1,0.4711,23.6976,0.9186,26.7292
MovingAverageBias,{'N': 30},2,0.4625,21.1298,0.954,25.2333
MovingAverageBias,{'N': 50},3,0.4398,23.2841,0.7806,23.6218
RSI,{'N': 20},1,0.7449,25.0435,0.8515,21.6979
RSI,{'N': 30},2,0.7415,29.7409,0.8816,25.4984
RSI,{'N': 10},3,0.7167,18.0994,0.8336,16.7893
TimeSeriesMomentum,{'N': 10},1,0.4651,16.7674,0.845,17.0605
TimeSeriesMomentum,{'N': 30},2,0.4648,22.7865,0.882,25.5097
TimeSeriesMomentum,{'N': 20},3,0.45,19.5631,0.8509,21.6894
ATR,{'N': 60},1,0.3955,21.0374,0.2207,10.078
ATR,{'N': 50},2,0.3938,21.0767,0.2252,10.2685
ATR,{'N': 20},3,0.3697,21.5603,0.233,10.6175
DownsideUpsideVolatility,{'N': 30},1,0.697,27.1634,0.6843,19.1465
DownsideUpsideVolatility,{'N': 20},2,0.6965,23.3156,0.6751,17.2056
DownsideUpsideVolatility,{'N': 40},3,0.6229,26.1658,0.5821,17.3492
HistoricalVolatility,{'N': 60},1,0.381,20.7059,0.2211,10.0981
HistoricalVolatility,{'N': 50},2,0.3694,20.1611,0.2257,10.2934
HistoricalVolatility,{'N': 20},3,0.3173,20.914,0.2329,10.6121
IntradayAmplitude,{'N': 60},1,0.4284,22.8926,0.2207,10.078
IntradayAmplitude,{'N': 50},2,0.427,22.9335,0.2252,10.2685
IntradayAmplitude,{'N': 40},3,0.3971,21.6067,0.223,10.1711
VIXFix,{'N': 60},1,0.0926,5.0285,0.2056,9.357
VIXFix,{'N': 50},2,0.0418,2.2812,0.2056,9.357
VIXFix,{'N': 10},3,0.031,1.3959,0.2056,9.357
CMF,{'N': 30},1,0.5274,17.4128,0.5003,12.5246
CMF,{'N': 20},2,0.5158,14.9681,0.4293,9.4638
CMF,{'N': 40},3,0.3858,12.9801,0.3322,8.8179
OBV,{'N': 50},1,-0.0514,-3.0041,-0.4094,-10.8358
OBV,{'N': 20},2,-0.1656,-10.1764,0.0931,1.8929
OBV,{'N': 30},3,-0.1791,-16.9313,-0.1128,-2.5381
OpenInterestROC,{'N': 50},1,0.1659,7.3603,0.1259,5.4664
OpenInterestROC,{'N': 20},2,0.058,2.2233,-0.2436,-8.6608
OpenInterestROC,{'N': 30},3,0.0133,0.5545,-0.0562,-2.1932
PriceOiDivergence,{'N': 60},1,0.0,0.0,0.0,0.0
PriceOiDivergence,{'N': 10},2,-0.0423,-1.2097,-0.1354,-2.5969
PriceOiDivergence,{'N': 20},3,-0.0715,-3.1274,-0.3522,-11.062
PriceVolumeCorrelation,{'N': 20},1,0.6398,18.5599,0.5575,13.8902
PriceVolumeCorrelation,{'N': 30},2,0.5949,20.0938,0.3808,10.5097
PriceVolumeCorrelation,{'N': 10},3,0.5702,12.7904,0.4904,9.804
VolumeMomentum,{'N': 30},1,0.6141,26.3526,0.0604,2.3437
VolumeMomentum,{'N': 60},2,0.0,0.0,0.0,0.0
VolumeMomentum,{'N': 10},3,-0.0329,-0.7427,-0.1627,-3.2896
