trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,0.0,0.0
20100323,0.0,0.0
20100324,0.0,0.0
20100325,0.0,-20.964765082199158
20100326,0.0,-17.15289795300642
20100329,0.0,-14.03412787590007
20100330,0.0,-11.48242718780995
20100331,0.0,-9.39468565782913
20100401,13.646975331524164,-7.686542586565433
20100402,24.775643123911326,-6.288977067553359
20100406,34.13972546404303,-5.1455184434174
20100407,27.932466017975905,-4.209964114005614
20100408,22.853811309077955,-3.444512397063533
20100409,18.698556472511306,-2.8182349414591497
20100412,15.298807942357556,-2.3058269321061755
20100413,12.51719914156274,-1.8865845629214388
20100414,10.24133982743995,-1.5435684455898593
20100415,8.379274743903604,-1.2629191404198126
20100416,6.855768038112332,-1.0332971459027334
20100419,5.609263281110324,-21.386887596953745
20100420,4.589396241033194,-17.498358808615258
20100421,3.754959898810401,-14.316836501037
20100422,3.0722394740282377,-11.713773629281338
20100423,2.513650182076057,-9.58399547462169
20100426,2.056622677643925,-7.841450085653693
20100427,1.6826911487615004,-27.975937425510537
20100428,-11.16179120487,-41.788731585545776
20100429,-9.132374139154326,-52.996277588941176
20100430,-7.471942154151297,-43.36058887821499
20100504,-6.113407000583087,-54.26034399104853
20100505,-17.74897371953424,-63.276375821167456
20100506,-27.13406656768913,-70.60076550906179
20100507,-34.336238271937496,-75.45440734658119
20100510,-28.093285413124068,-61.735423213150334
20100511,-22.98541503962677,-50.51080015505635
20100512,-18.806248469040995,-41.327017869740786
20100513,-15.386930431865709,-33.81301432686002
20100514,-12.589306627470489,-27.665193343457407
20100517,-19.033041067888217,-36.18405237845325
20100518,-15.572488072334911,-29.60513362327992
20100519,-12.741126555020745,-24.222381961083254
20100520,-10.424558057256895,-19.81831245046866
