trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,0.0,0.0
20100323,0.0,0.0
20100324,0.0,0.0
20100325,0.0,0.0
20100326,0.0,0.0
20100329,0.0,0.0
20100330,0.0,0.0
20100331,0.0,0.0
20100401,0.0,0.0
20100402,5.8349663947540655,-6.403902598262245
20100406,11.023809496465681,-11.036815721043633
20100407,15.016496732975249,-15.22965605229537
20100408,16.915962681285045,-20.062127965697282
20100409,20.02723362069061,-22.69050581321086
20100412,22.492203927834197,-22.55922752809551
20100413,24.424515056388586,-23.241975382615745
20100414,26.147892379691466,-21.142465187563126
20100415,28.108732198373538,-19.833634759125015
20100416,29.544855993256537,-19.60307230452456
20100419,26.790885384150695,-23.127173745913677
20100420,25.354630260727415,-24.81197179187864
20100421,24.324083210247142,-26.096233807089984
20100422,23.179322928970617,-27.21540421668008
20100423,22.17407220056032,-28.8250672802911
20100426,22.301472639813362,-29.483269452603356
20100427,21.718037162540416,-32.13311387711724
20100428,18.36664691819104,-32.06877666997374
20100429,16.007928995455735,-31.552523739258064
20100430,14.02010485968612,-30.426814307533157
20100504,11.80542608526,-30.593859961586286
20100505,8.621491965277993,-32.28868460900206
20100506,5.146378432459106,-34.613277598268475
20100507,0.8890931223146996,-36.86857458309427
20100510,-0.28008803762887347,-36.43719692956752
20100511,-2.409048509560343,-36.8458104906421
20100512,-3.913125483084402,-37.7009677539154
20100513,-5.49170588733537,-37.69646312110998
20100514,-7.436942074614334,-37.99072954701473
20100517,-10.451120423771961,-37.33523804559242
20100518,-11.821036192907671,-36.249902112122626
20100519,-13.357290201366043,-35.02946217739255
20100520,-13.868730409198715,-33.808915785657454
20100521,-14.52096337554315,-33.30113044072414
20100524,-13.742105206118895,-31.515958873573517
