trade_date,"{'fast_n': 5, 'slow_n': 20}","{'fast_n': 10, 'slow_n': 40}","{'fast_n': 10, 'slow_n': 60}","{'fast_n': 20, 'slow_n': 40}","{'fast_n': 20, 'slow_n': 60}","{'fast_n': 30, 'slow_n': 60}"
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0,0.0
20100119,0.0,0.0,0.0,0.0,0.0,0.0
20100120,0.0,0.0,0.0,0.0,0.0,0.0
20100121,0.0,0.0,0.0,0.0,0.0,0.0
20100122,0.0,0.0,0.0,0.0,0.0,0.0
20100125,0.0,0.0,0.0,0.0,0.0,0.0
20100126,0.0,0.0,0.0,0.0,0.0,0.0
20100127,0.0,0.0,0.0,0.0,0.0,0.0
20100128,0.0,0.0,0.0,0.0,0.0,0.0
20100129,0.0,0.0,0.0,0.0,0.0,0.0
20100201,0.0025976428839554816,0.0,0.0,0.0,0.0,0.0
20100202,0.001360769900295689,0.0,0.0,0.0,0.0,0.0
20100203,-0.05945646750862825,0.0,0.0,0.0,0.0,0.0
20100204,0.07389919596810915,0.0,0.0,0.0,0.0,0.0
20100205,0.0979291668538321,0.0,0.0,0.0,0.0,0.0
20100208,-0.028574787630911848,0.0,0.0,0.0,0.0,0.0
20100209,-0.048785699624921866,0.0,0.0,0.0,0.0,0.0
20100210,-0.09273040347910459,0.0,0.0,0.0,0.0,0.0
20100211,-0.040896481275863025,0.0,0.0,0.0,0.0,0.0
20100212,-0.073894820176259,0.0,0.0,0.0,0.0,0.0
20100222,-0.14283527345049457,0.0,0.0,0.0,0.0,0.0
20100223,0.001865777455643306,0.0,0.0,0.0,0.0,0.0
20100224,0.03681730501802141,0.0,0.0,0.0,0.0,0.0
20100225,0.007180187965284338,0.0,0.0,0.0,0.0,0.0
