trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,0.0,0.0
20100323,0.0,0.0
20100324,0.0,0.0
20100325,0.0,0.0
20100326,0.0,0.0
20100329,0.0,0.0
20100330,0.0,0.0
20100331,0.0,0.0
20100401,0.0,0.0
20100402,0.0,0.0
20100406,13.868777220434799,-23.73562912392305
20100407,25.30870801748915,-43.78229927801831
20100408,7.356378845352923,-59.93951234585472
20100409,20.25706158761788,-73.55056187850963
20100412,30.80314303841745,-82.98411276694415
20100413,9.843137937679675,-93.00410538412841
20100414,23.452455181624213,-101.03668332784551
20100415,35.92886478412555,-108.16660974629177
20100416,46.56386432779081,-114.91989390267634
20100419,24.56770563791031,-114.56680585659791
20100420,6.558371885708673,-114.32838703078693
20100421,-8.174673304262614,-114.2522427108834
20100422,-20.227552820511356,-114.24774534570626
20100423,-30.081855423549285,-114.67231154969154
20100426,-11.07345392528176,-115.90870373824471
20100427,5.942453157418716,-116.39459251906412
20100428,-7.676531604904175,-114.1312628947104
20100429,-18.714654441176556,-112.1856182568194
20100430,-2.402366371404279,-110.56344408123245
20100504,11.17483350880064,-109.24449630130736
20100505,21.89014074265858,-108.26340822636121
20100506,30.522294051757946,-107.40833660455763
20100507,12.837146774640534,-105.569692204354
20100510,20.802132046990586,-102.85448924373738
20100511,27.23601266667725,-101.6698462451303
20100512,32.41388890706098,-100.71718202414597
20100513,36.40156445555372,-99.82811819365874
20100514,39.68275058240569,-99.11527615414414
20100517,23.7350054913973,-94.64321070166734
20100518,10.215207498391552,-91.81631693181731
20100519,-1.0430142000175417,-89.89287730741054
20100520,-9.984223259288887,-88.23573540470488
20100521,-17.301222391937905,-86.88036755793343
20100524,-22.65570422103374,-84.93070983669416
20100525,-27.121335786094523,-83.44247621789236
