trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,-9.53884287428084,-20.620843441641707
20100322,-18.869260190333257,-37.62054083829892
20100323,-26.509966324478388,-51.547017306823825
20100324,-32.92238314054518,-63.501913512843714
20100325,-38.21486587549762,-72.92053680387106
20100326,-42.369502815508255,-79.77105852637797
20100329,-47.18410929137995,-85.6228841631757
20100330,-52.56832925660335,-92.61074393283192
20100331,-29.123244772342854,-98.84464511447908
20100401,-10.18107696898357,-103.69353580768396
20100402,5.280002165091855,-107.70712651958657
20100406,18.188772066962905,-111.85950046912919
20100407,28.843244619887095,-115.88355399709899
20100408,36.949716677909535,-118.93138472250791
20100409,44.469771283543444,-121.8165969015551
20100412,50.61352765000955,-122.47447669114409
20100413,56.770462565695844,-125.31438415058128
20100414,61.84752050516783,-127.47235324283649
20100415,67.34299678022394,-129.7957857124435
20100416,72.26632768723438,-132.6164867238314
20100419,72.65697131319288,-129.045832533206
20100420,72.98907393265488,-126.17486084976787
20100421,73.25893568068003,-123.94481049024917
20100422,73.4783052650814,-122.17802693031003
20100423,73.65064773597769,-121.1607229894797
20100426,73.79858591856559,-121.21740349452162
20100427,75.38320754323681,-120.73807379466352
20100428,74.2157042404831,-117.68502007229193
20100429,73.15579280907201,-115.09323761196549
20100430,72.76435994423832,-112.94240526886009
20100504,72.6748801350526,-111.19091902226995
20100505,46.71416843314083,-109.8559358610159
20100506,25.6085030344283,-108.71131372930185
20100507,8.816772383879504,-106.63576437665321
20100510,17.512734870376367,-103.72673009814304
20100511,24.544687738930165,-102.38349784401616
20100512,9.952138247549723,-101.3010787806691
20100513,-1.73845163027844,-100.30585189938976
20100514,-11.322022108826538,-99.50614918332676
20100517,-17.99617192230223,-94.96301590550179
20100518,-23.92848295030625,-92.0779757337092
