trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,-3.527534808906466,-1.1442385747728774
20100202,-6.339533636555762,-2.2904241053285483
20100203,-8.281024946318096,-3.79425617165432
20100204,-9.283770338386338,-4.983467139082887
20100205,-9.531968447517281,-6.048357407841702
20100208,-9.38787904302552,-7.426257658149677
20100209,-8.773461498064473,-8.558651987422813
20100210,-7.984095744255483,-11.256191108825194
20100211,-7.036840486147729,-13.38898247693063
20100212,-6.528298084642693,-15.01315004825764
20100222,-6.30379795490351,-16.25794693448491
20100223,-7.798006256643658,-17.353365683008544
20100224,-9.011869565856431,-18.6649665852407
20100225,-9.95699365268703,-19.694483938551738
20100226,-10.536077648191277,-18.325185831619365
20100301,-9.111867951146941,-16.848944082175258
20100302,-7.535470141187267,-17.38735377661111
20100303,-6.318631216507583,-17.767538860644137
20100304,-4.32615103930189,-15.785296047882188
20100305,-2.594647745137247,-14.748734736620206
20100308,-0.9505011081654708,-13.275912093940512
20100309,0.32222101206670806,-11.200548866622809
20100310,1.157772363977653,-10.676512998033138
20100311,0.2973011678805447,-10.81212757100039
20100312,-1.1342139003710847,-11.845299343168564
20100315,-2.4383915592631284,-13.814660654790677
20100316,-3.839078333841726,-15.694948704683416
20100317,-5.09317014181376,-16.5211295447833
20100318,-5.938240937772917,-17.07523428660465
20100319,-6.553467778054127,-15.967523437509755
20100322,-6.038005859945066,-13.270805762228878
20100323,-5.5847930637963845,-10.961492708183862
20100324,-4.845394616549672,-10.257186031665574
20100325,-3.875149272945124,-9.55093297552032
20100326,-2.316085174496924,-10.249273872929047
20100329,-3.4605970322985686,-11.04657703018158
20100330,-6.227636157404678,-3.348515460707175
20100331,-7.7581881332418385,4.112299490133437
20100401,-8.416133072391567,10.721406797887154
20100402,-9.047038404980176,14.603320191106942
20100406,-9.115765859540842,15.102694468069316
20100407,-9.07432566270739,12.92506342272149
20100408,-8.486022424216193,11.382866088630552
20100409,-4.50688665434463,8.79283250576416
20100412,-1.3005851817847107,12.748317291141861
20100413,3.610983095870251,17.975345583865103
20100414,7.6659796152328115,21.334461478595745
20100415,13.00952492699198,24.91738097783622
20100416,18.519583407128746,28.7000783266111
20100419,16.195542974763693,25.630730311111936
20100420,12.573296697726636,21.185811405294814
20100421,9.658696781974482,17.531898540158394
20100422,7.508519779447895,14.933935307853544
20100423,5.811636182042888,12.976997785888042
20100426,1.8133597540839081,11.827380046830232
20100427,-5.612959782892889,11.268258968038577
