trade_date,{'N': 10},{'N': 20},{'N': 30},{'N': 40},{'N': 50},{'N': 60}
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0,0.0
20100119,7.2648704907047946e-09,0.0,0.0,0.0,0.0,0.0
20100120,-6.1880657631763056e-09,0.0,0.0,0.0,0.0,0.0
20100121,-1.1007511282893194e-09,0.0,0.0,0.0,0.0,0.0
20100122,-5.400896387132826e-08,0.0,0.0,0.0,0.0,0.0
20100125,6.124847453019603e-09,0.0,0.0,0.0,0.0,0.0
20100126,-4.315443696998707e-08,0.0,0.0,0.0,0.0,0.0
20100127,4.420842312886512e-09,0.0,0.0,0.0,0.0,0.0
20100128,-6.605895283919385e-08,0.0,0.0,0.0,0.0,0.0
20100129,-6.950721130927445e-08,0.0,0.0,0.0,0.0,0.0
20100201,-1.2952397368894857e-08,0.0,0.0,0.0,0.0,0.0
20100202,-1.0430804481926917e-08,-2.055887027885909e-09,0.0,0.0,0.0,0.0
20100203,7.21260529727134e-08,2.5696486303382502e-08,0.0,0.0,0.0,0.0
20100204,-3.828969442792859e-08,-1.8082746813795572e-08,0.0,0.0,0.0,0.0
20100205,-4.394777517499399e-08,-2.4912218136014117e-08,0.0,0.0,0.0,0.0
20100208,2.9123295094086863e-09,1.9064599676581513e-09,0.0,0.0,0.0,0.0
20100209,1.0686010657117987e-08,7.663862149697725e-09,0.0,0.0,0.0,0.0
20100210,2.9803433545815625e-08,2.313606252373126e-08,0.0,0.0,0.0,0.0
20100211,3.018524522540504e-08,2.3835493408215137e-08,0.0,0.0,0.0,0.0
20100212,1.9434774680531107e-08,1.6289814256465773e-08,0.0,0.0,0.0,0.0
20100222,3.321057159510415e-08,2.9791690897549228e-08,0.0,0.0,0.0,0.0
