Factor,Parameters,Mode,SharpRatio,POT
DownsideUpsideVolatility,{'N': 10},RAW,0.1064,2.6908
DownsideUpsideVolatility,{'N': 10},STATE_MACHINE,0.2035,4.1157
DownsideUpsideVolatility,{'N': 20},RAW,0.2024,6.7789
DownsideUpsideVolatility,{'N': 20},STATE_MACHINE,0.2678,7.0185
DownsideUpsideVolatility,{'N': 30},RAW,0.4484,16.9655
DownsideUpsideVolatility,{'N': 30},STATE_MACHINE,0.563,17.0656
DownsideUpsideVolatility,{'N': 40},RAW,0.5732,24.3946
DownsideUpsideVolatility,{'N': 40},STATE_MACHINE,0.6346,20.34
DownsideUpsideVolatility,{'N': 50},RAW,0.5866,26.4189
DownsideUpsideVolatility,{'N': 50},STATE_MACHINE,0.5452,17.8881
DownsideUpsideVolatility,{'N': 60},RAW,0.5379,25.3496
DownsideUpsideVolatility,{'N': 60},STATE_MACHINE,0.4824,16.9165
