trade_date,{'N': 10},{'N': 20},{'N': 30},{'N': 40},{'N': 50},{'N': 60}
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,-0.0022418077185370365,0.0,0.0,0.0,0.0,0.0
20100119,-0.07882164521408476,0.0,0.0,0.0,0.0,0.0
20100120,0.06122489319419544,0.0,0.0,0.0,0.0,0.0
20100121,0.010466997586859098,0.0,0.0,0.0,0.0,0.0
20100122,0.5031762710777787,0.0,0.0,0.0,0.0,0.0
20100125,-0.05499715009293286,0.0,0.0,0.0,0.0,0.0
20100126,0.39267085188903156,0.0,0.0,0.0,0.0,0.0
20100127,-0.040249392174406824,0.0,0.0,0.0,0.0,0.0
20100128,0.6530712862173516,0.0,0.0,0.0,0.0,0.0
20100129,0.6908749806912285,0.0,0.0,0.0,0.0,0.0
20100201,0.12615530578925316,0.0,0.0,0.0,0.0,0.0
20100202,0.1002098244775427,0.0,0.0,0.0,0.0,0.0
20100203,-0.4905180062033825,0.0,0.0,0.0,0.0,0.0
20100204,0.1383205040353922,0.0,0.0,0.0,0.0,0.0
20100205,0.0413084495621579,0.0,0.0,0.0,0.0,0.0
20100208,-0.0021817306762791006,0.0,0.0,0.0,0.0,0.0
20100209,-0.012852391654219423,0.0,0.0,0.0,0.0,0.0
20100210,-0.026227983122041658,0.0,0.0,0.0,0.0,0.0
20100211,-0.03882551467221337,0.0,0.0,0.0,0.0,0.0
20100212,-0.046912007847182885,0.0,0.0,0.0,0.0,0.0
20100222,-0.175846858995938,0.0,0.0,0.0,0.0,0.0
20100223,0.031507150746766875,0.0,0.0,0.0,0.0,0.0
20100224,0.24233265046102065,0.08503220252269451,0.0,0.0,0.0,0.0
20100225,0.076099980661261,0.04141979842613177,0.0,0.0,0.0,0.0
