trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,0.0,
20100119,0.0,
20100120,0.0,
20100121,0.0,
20100122,0.0,
20100125,0.0,
20100126,0.0,
20100127,0.0,
20100128,0.0,
20100129,0.0,
20100201,0.0,
20100202,0.0,
20100203,0.0,
20100204,0.0,
20100205,0.0,
20100208,0.0,
20100209,0.0,
20100210,0.0,
20100211,0.0,
20100212,0.0,
20100222,0.0,
20100223,0.0,
20100224,0.0,
20100225,0.0,
20100226,0.0,
20100301,0.0,
20100302,0.0,
20100303,0.0,
20100304,0.0,
20100305,0.0,
20100308,0.0,
20100309,0.0,
20100310,0.0,
20100311,0.0,
20100312,0.0,
20100315,0.0,
20100316,0.0,
20100317,0.0,
20100318,0.0,
20100319,0.0,
20100322,0.0,
20100323,0.0,
20100324,0.0,
20100325,0.0,
20100326,0.0,
20100329,0.0,
20100330,0.0,
20100331,0.0,
20100401,0.0,
20100402,0.0,
20100406,-21.427209011065738,
20100407,5.116099377241239,
20100408,-18.452887696290485,
20100409,-39.680053733537136,
20100412,-56.787443211471896,
20100413,-22.20378673161918,
20100414,6.25094789698864,
20100415,-22.021526398824207,
20100416,-46.01447692874814,
20100419,-14.14818632175295,
20100420,14.54182984501916,
20100421,37.860055927182685,
20100422,4.835145272869186,
20100423,-23.120313401226948,
20100426,-43.677291406838556,
20100427,-60.660640085957986,
20100428,-73.84584869978055,
20100429,-85.16946897052208,
20100430,-94.28104345212621,
20100504,-102.19320989934604,
20100505,-108.13427099516153,
20100506,-113.46305486598416,
20100507,-113.12345395482583,
20100510,-112.52430695131201,
20100511,-111.66137245494185,
20100512,-110.32693033267644,
20100513,-109.27529826857759,
20100514,-108.4844266251706,
20100517,-107.88134045595797,
20100518,-107.88215478562401,
20100519,-107.5173366028231,
20100520,-105.13041465301586,
20100521,-102.96638101778015,
20100524,-101.1298717757759,
20100525,-100.50750828559988,
20100526,-99.5208736911795,
20100527,-98.93479176603616,
20100528,-98.44702575526973,
20100531,-97.96103460933682,
20100601,-97.42883261328332,
