trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,0.0,
20100119,0.0,
20100120,0.0,
20100121,0.0,
20100122,0.0,
20100125,0.0,
20100126,0.0,
20100127,0.0,
20100128,0.0,
20100129,0.0,
20100201,0.0,
20100202,0.0,
20100203,0.0,
20100204,0.0,
20100205,0.0,
20100208,0.0,
20100209,0.0,
20100210,0.0,
20100211,0.0,
20100212,0.0,
20100222,0.0,
20100223,0.0,
20100224,0.0,
20100225,0.0,
20100226,0.0,
20100301,0.0,
20100302,0.0,
20100303,0.0,
20100304,0.0,
20100305,0.0,
20100308,0.0,
20100309,0.0,
20100310,0.0,
20100311,0.0,
20100312,0.0,
20100315,0.0,
20100316,0.0,
20100317,0.0,
20100318,0.0,
20100319,0.0,
20100322,18.076853773684327,
20100323,32.9289666324061,
20100324,45.4020778360908,
20100325,55.883100872334,
20100326,65.72620105391363,
20100329,73.48718275803132,
20100330,79.823438924804,
20100331,87.50870728730887,
20100401,93.71967804932574,
20100402,98.09590419051891,
20100406,101.68736560158563,
20100407,105.84607376755635,
20100408,63.96245745809101,
20100409,27.750624008979308,
20100412,-1.6169283258801188,
20100413,-25.581580077698206,
20100414,-45.34804739491918,
20100415,-64.23886957318528,
20100416,-80.55592840691847,
20100419,-89.40939076921399,
20100420,-99.27073829763013,
20100421,-107.18369607508743,
20100422,-113.83699833742843,
20100423,-120.21569216812279,
20100426,-123.11895727201437,
20100427,-125.65836156753741,
20100428,-127.02579920151967,
20100429,-128.68033526156074,
20100430,-129.8808416042591,
20100504,-131.32031644709667,
20100505,-131.96553929842327,
20100506,-132.96136483378888,
20100507,-129.07661634639274,
20100510,-125.57689415549896,
20100511,-122.34076184700638,
20100512,-119.06461246974293,
20100513,-116.42431086405212,
20100514,-114.33361870715265,
20100517,-112.6670430406488,
20100518,-111.79772960900713,
20100519,-110.72098871856986,
20100520,-107.75158455754804,
20100521,-105.11097457044306,
20100524,-102.8845392242121,
20100525,-101.94314528636055,
20100526,-100.69548578103381,
20100527,-99.8958380202488,
