trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,0.0,
20100119,0.0,
20100120,0.0,
20100121,0.0,
20100122,0.0,
20100125,0.0,
20100126,0.0,
20100127,0.0,
20100128,0.0,
20100129,0.0,
20100201,0.0,
20100202,0.0,
20100203,0.0,
20100204,0.0,
20100205,0.0,
20100208,0.0,
20100209,0.0,
20100210,0.0,
20100211,0.0,
20100212,-14.288604546113694,
20100222,1.2027006280807149,
20100223,-11.887977008722238,
20100224,-22.503869478061606,
20100225,-31.21473774744556,
20100226,-38.50371957213547,
20100301,-44.52507556221638,
20100302,-49.617477354500274,
20100303,-27.886197391405137,
20100304,-35.69278483137492,
20100305,-42.28187439646916,
20100308,-21.505286689284745,
20100309,-30.92283927589126,
20100310,-38.775511131966766,
20100311,-44.957035839134655,
20100312,-19.23535677804052,
20100315,-32.93780604706208,
20100316,-9.702047701839284,
20100317,8.666419402731758,
20100318,23.446413449297843,
20100319,35.678149518296955,
20100322,47.26771891568478,
20100323,20.53425303543776,
20100324,-1.659792742157432,
20100325,-20.09419226779201,
20100326,3.563293391056578,
20100329,22.62684430860932,
20100330,38.210583594069426,
20100331,53.46192529926347,
20100401,65.8632867640539,
20100402,75.30435597428155,
20100406,83.03976513477231,
20100407,90.58896612313039,
20100408,96.75694817060928,
20100409,103.74695605474402,
20100412,109.20578018389205,
20100413,113.60877077078554,
20100414,117.3702596923433,
20100415,123.16611099592463,
20100416,128.76911041459428,
20100419,81.85650497742766,
20100420,40.85587348109782,
20100421,59.38972419718111,
20100422,74.73284516913026,
20100423,88.22138880656156,
20100426,96.94180250401843,
20100427,104.240691176813,
20100428,109.50225183280025,
20100429,114.34288817273543,
20100430,118.15020358466654,
20100504,121.72252204361081,
20100505,124.11279865032485,
20100506,126.53639536489804,
20100507,123.81982324651285,
20100510,121.27588168747437,
20100511,118.82175169157718,
20100512,116.18542237315398,
20100513,114.06860989640506,
20100514,112.40622702005436,
20100517,111.09008621492387,
20100518,110.50749221228232,
20100519,109.66533994354234,
20100520,106.88787192618658,
