ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close
AG.SHF,20120510,,6166.0,6190.0,6196.0,6082.0,6140.0,6126.0,-26.0,-40.0,259996.0,2389296.075,33726.0,,AG1209.SHF,
AG.SHF,20120511,6140.0,6126.0,6110.0,6115.0,6000.0,6002.0,6056.0,-124.0,-70.0,206804.0,1878753.822,55020.0,,AG1209.SHF,
AG.SHF,20120514,6002.0,6056.0,6040.0,6045.0,5960.0,5976.0,5999.0,-80.0,-57.0,207668.0,1868733.84,57028.0,,AG1209.SHF,
AG.SHF,20120515,5976.0,5999.0,5895.0,5910.0,5711.0,5842.0,5813.0,-157.0,-186.0,445150.0,3882019.257,82238.0,,AG1209.SHF,
AG.SHF,20120516,5842.0,5813.0,5750.0,5786.0,5643.0,5647.0,5704.0,-166.0,-109.0,599202.0,5126826.615,108376.0,,AG1209.SHF,
AG.SHF,20120517,5647.0,5704.0,5705.0,5787.0,5691.0,5763.0,5748.0,59.0,44.0,558288.0,4813684.656,89738.0,,AG1209.SHF,
AG.SHF,20120518,5763.0,5748.0,5808.0,5881.0,5768.0,5863.0,5827.0,115.0,79.0,695576.0,6080604.447,92162.0,,AG1209.SHF,
AG.SHF,20120521,5863.0,5827.0,5957.0,5964.0,5903.0,5940.0,5932.0,113.0,105.0,405766.0,3610778.427,97686.0,,AG1209.SHF,
AG.SHF,20120522,5940.0,5932.0,5920.0,5930.0,5882.0,5890.0,5903.0,-42.0,-29.0,371088.0,3286240.248,90716.0,,AG1209.SHF,
AG.SHF,20120523,5890.0,5903.0,5800.0,5818.0,5759.0,5791.0,5791.0,-112.0,-112.0,300170.0,2607478.551,90202.0,,AG1209.SHF,
AG.SHF,20120524,5791.0,5791.0,5785.0,5838.0,5766.0,5832.0,5804.0,41.0,13.0,301270.0,2623008.792,85938.0,,AG1209.SHF,
AG.SHF,20120525,5832.0,5804.0,5858.0,5912.0,5804.0,5904.0,5849.0,100.0,45.0,420278.0,3687852.693,92544.0,,AG1209.SHF,
AG.SHF,20120528,5904.0,5849.0,5940.0,5992.0,5916.0,5986.0,5955.0,137.0,106.0,381418.0,3407380.263,94920.0,,AG1209.SHF,
AG.SHF,20120529,5986.0,5955.0,5933.0,5982.0,5922.0,5962.0,5950.0,7.0,-5.0,349920.0,3123068.379,93104.0,,AG1209.SHF,
AG.SHF,20120530,5962.0,5950.0,5817.0,5855.0,5798.0,5801.0,5826.0,-149.0,-124.0,349610.0,3055650.069,94548.0,,AG1209.SHF,
AG.SHF,20120531,5801.0,5826.0,5836.0,5878.0,5826.0,5851.0,5853.0,25.0,27.0,365958.0,3213313.5,85856.0,,AG1209.SHF,
AG.SHF,20120601,5851.0,5853.0,5800.0,5840.0,5771.0,5832.0,5811.0,-21.0,-42.0,296984.0,2588722.167,86528.0,,AG1209.SHF,
AG.SHF,20120604,5832.0,5811.0,5923.0,5998.0,5901.0,5949.0,5951.0,138.0,140.0,393688.0,3514599.03,87274.0,,AG1209.SHF,
AG.SHF,20120605,5949.0,5951.0,5954.0,5985.0,5921.0,5931.0,5952.0,-20.0,1.0,323394.0,2887633.557,87988.0,,AG1209.SHF,
AG.SHF,20120606,5931.0,5952.0,6001.0,6092.0,5991.0,6088.0,6050.0,136.0,98.0,343846.0,3120719.574,89946.0,,AG1209.SHF,
AG.SHF,20120607,6088.0,6050.0,6145.0,6154.0,6110.0,6134.0,6125.0,84.0,75.0,272726.0,2505831.405,91644.0,,AG1209.SHF,
AG.SHF,20120608,6134.0,6125.0,6005.0,6023.0,5905.0,5935.0,5959.0,-190.0,-166.0,316480.0,2829143.586,79718.0,,AG1209.SHF,
AG.SHF,20120611,5935.0,5959.0,6054.0,6099.0,6031.0,6062.0,6068.0,103.0,109.0,207094.0,1885002.408,77300.0,,AG1209.SHF,
AG.SHF,20120612,6062.0,6068.0,5992.0,6038.0,5978.0,5989.0,6005.0,-79.0,-63.0,243702.0,2195171.646,87952.0,,AG1209.SHF,
AG.SHF,20120613,5989.0,6005.0,6050.0,6083.0,6040.0,6083.0,6062.0,78.0,57.0,184636.0,1679076.684,80188.0,,AG1209.SHF,
AG.SHF,20120614,6083.0,6062.0,6068.0,6128.0,6061.0,6080.0,6086.0,18.0,24.0,189246.0,1727714.388,82052.0,,AG1209.SHF,
AG.SHF,20120615,6080.0,6086.0,6050.0,6085.0,6032.0,6070.0,6062.0,-16.0,-24.0,208546.0,1896352.287,80836.0,,AG1209.SHF,
AG.SHF,20120618,6070.0,6062.0,6087.0,6095.0,6003.0,6010.0,6026.0,-52.0,-36.0,309918.0,2801715.9,99022.0,,AG1209.SHF,
AG.SHF,20120619,6010.0,6026.0,6058.0,6080.0,6045.0,6061.0,6063.0,35.0,37.0,168258.0,1530243.273,76972.0,,AG1209.SHF,
AG.SHF,20120620,6061.0,6063.0,5996.0,6029.0,5990.0,6010.0,6007.0,-53.0,-56.0,175782.0,1584111.843,83302.0,,AG1209.SHF,
AG.SHF,20120621,6010.0,6007.0,5900.0,5925.0,5893.0,5911.0,5909.0,-96.0,-98.0,141540.0,1254721.791,75606.0,,AG1209.SHF,
AG.SHF,20120625,5911.0,5909.0,5700.0,5742.0,5691.0,5716.0,5724.0,-193.0,-185.0,162514.0,1395570.654,89926.0,,AG1209.SHF,
AG.SHF,20120626,5716.0,5724.0,5830.0,5830.0,5783.0,5791.0,5809.0,67.0,85.0,139496.0,1215630.966,83698.0,,AG1209.SHF,
AG.SHF,20120627,5791.0,5809.0,5767.0,5771.0,5725.0,5745.0,5748.0,-64.0,-61.0,134318.0,1158156.102,90242.0,,AG1209.SHF,
AG.SHF,20120628,5745.0,5748.0,5778.0,5782.0,5733.0,5736.0,5747.0,-12.0,-1.0,120340.0,1037413.845,88594.0,,AG1209.SHF,
AG.SHF,20120629,5736.0,5747.0,5651.0,5764.0,5632.0,5751.0,5704.0,4.0,-43.0,234654.0,2007916.365,83390.0,,AG1209.SHF,
AG.SHF,20120702,5751.0,5704.0,5831.0,5835.0,5785.0,5796.0,5804.0,92.0,100.0,156980.0,1366902.744,73088.0,,AG1209.SHF,
AG.SHF,20120703,5796.0,5804.0,5820.0,5915.0,5810.0,5908.0,5870.0,104.0,66.0,186102.0,1638849.876,68056.0,,AG1209.SHF,
AG.SHF,20120704,5908.0,5870.0,5952.0,5979.0,5932.0,5948.0,5952.0,78.0,82.0,133860.0,1195162.083,61944.0,,AG1209.SHF,
AG.SHF,20120705,5948.0,5952.0,5960.0,5995.0,5944.0,5994.0,5969.0,42.0,17.0,118224.0,1058632.617,64576.0,,AG1209.SHF,
AG.SHF,20120706,5994.0,5969.0,5929.0,5932.0,5864.0,5872.0,5891.0,-97.0,-78.0,148200.0,1309787.982,64902.0,,AG1209.SHF,
AG.SHF,20120709,5872.0,5891.0,5790.0,5832.0,5782.0,5808.0,5806.0,-83.0,-85.0,141662.0,1233862.557,71908.0,,AG1209.SHF,
AG.SHF,20120710,5808.0,5806.0,5813.0,5834.0,5795.0,5798.0,5812.0,-8.0,6.0,100886.0,879571.59,69612.0,,AG1209.SHF,
AG.SHF,20120711,5798.0,5812.0,5755.0,5780.0,5750.0,5775.0,5767.0,-37.0,-45.0,95462.0,825887.955,69574.0,,AG1209.SHF,
AG.SHF,20120712,5775.0,5767.0,5774.0,5779.0,5728.0,5743.0,5745.0,-24.0,-22.0,113558.0,978720.855,77556.0,,AG1209.SHF,
AG.SHF,20120713,5743.0,5745.0,5770.0,5830.0,5764.0,5828.0,5799.0,83.0,54.0,96864.0,842647.122,69344.0,,AG1209.SHF,
AG.SHF,20120716,5828.0,5799.0,5810.0,5834.0,5787.0,5828.0,5811.0,29.0,12.0,90630.0,790084.224,63190.0,,AG1209.SHF,
AG.SHF,20120717,5828.0,5811.0,5845.0,5877.0,5812.0,5830.0,5847.0,19.0,36.0,104858.0,919689.654,59076.0,,AG1209.SHF,
AG.SHF,20120718,5830.0,5847.0,5835.0,5838.0,5780.0,5811.0,5805.0,-36.0,-42.0,76044.0,662186.175,57180.0,,AG1209.SHF,
AG.SHF,20120719,5811.0,5805.0,5815.0,5828.0,5797.0,5822.0,5814.0,17.0,9.0,64602.0,563447.106,55478.0,,AG1209.SHF,
AG.SHF,20120720,5822.0,5814.0,5809.0,5811.0,5787.0,5799.0,5799.0,-15.0,-15.0,61744.0,537121.296,54728.0,,AG1209.SHF,
AG.SHF,20120723,5799.0,5799.0,5806.0,5808.0,5755.0,5761.0,5782.0,-38.0,-17.0,60596.0,525550.512,50946.0,,AG1209.SHF,
AG.SHF,20120724,5761.0,5809.0,5796.0,5822.0,5792.0,5794.0,5805.0,-15.0,-4.0,63916.0,556637.358,53654.0,,AG1212.SHF,5771.0
AG.SHF,20120725,5794.0,5805.0,5784.0,5817.0,5740.0,5740.0,5788.0,-65.0,-17.0,81420.0,706992.384,64072.0,,AG1212.SHF,
AG.SHF,20120726,5740.0,5788.0,5840.0,5886.0,5820.0,5872.0,5859.0,84.0,71.0,100676.0,884916.156,55172.0,,AG1212.SHF,
AG.SHF,20120727,5872.0,5859.0,5862.0,5932.0,5862.0,5927.0,5897.0,68.0,38.0,83740.0,740797.761,57758.0,,AG1212.SHF,
AG.SHF,20120730,5927.0,5897.0,5923.0,5925.0,5887.0,5893.0,5905.0,-4.0,8.0,66076.0,585292.041,53020.0,,AG1212.SHF,
AG.SHF,20120731,5893.0,5905.0,5978.0,6044.0,5972.0,6024.0,6018.0,119.0,113.0,124084.0,1120202.409,61994.0,,AG1212.SHF,
AG.SHF,20120801,6024.0,6018.0,5965.0,5992.0,5949.0,5990.0,5972.0,-28.0,-46.0,76542.0,685675.956,60402.0,,AG1212.SHF,
AG.SHF,20120802,5990.0,5972.0,5880.0,5910.0,5880.0,5896.0,5898.0,-76.0,-74.0,67152.0,594143.331,60746.0,,AG1212.SHF,
AG.SHF,20120803,5896.0,5898.0,5866.0,5868.0,5842.0,5862.0,5852.0,-36.0,-46.0,54240.0,476195.499,62202.0,,AG1212.SHF,
AG.SHF,20120806,5862.0,5852.0,5970.0,5972.0,5941.0,5952.0,5953.0,100.0,101.0,48632.0,434316.69,58854.0,,AG1212.SHF,
AG.SHF,20120807,5952.0,5953.0,5966.0,5974.0,5956.0,5966.0,5965.0,13.0,12.0,38914.0,348215.703,58194.0,,AG1212.SHF,
AG.SHF,20120808,5966.0,5965.0,5999.0,5999.0,5953.0,5955.0,5977.0,-10.0,12.0,56720.0,508601.994,60102.0,,AG1212.SHF,
AG.SHF,20120809,5955.0,5977.0,5988.0,6022.0,5980.0,6020.0,6005.0,43.0,28.0,70034.0,630918.297,69126.0,,AG1212.SHF,
AG.SHF,20120810,6020.0,6005.0,6005.0,6006.0,5961.0,5976.0,5983.0,-29.0,-22.0,56594.0,507949.284,65498.0,,AG1212.SHF,
AG.SHF,20120813,5976.0,5983.0,6004.0,6024.0,5986.0,5995.0,6002.0,12.0,19.0,78452.0,706372.461,68494.0,,AG1212.SHF,
AG.SHF,20120814,5995.0,6002.0,5974.0,5980.0,5944.0,5976.0,5961.0,-26.0,-41.0,62094.0,555220.266,63982.0,,AG1212.SHF,
AG.SHF,20120815,5976.0,5961.0,5961.0,5969.0,5950.0,5953.0,5959.0,-8.0,-2.0,42428.0,379248.993,62360.0,,AG1212.SHF,
