ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close
P.DCE,20100104,7276.0,7186.0,7300.0,7368.0,7244.0,7302.0,7310.0,116.0,124.0,641592.0,4690064.15,302644.0,,P1009.DCE,
P.DCE,20100105,7302.0,7310.0,7320.0,7388.0,7288.0,7344.0,7348.0,34.0,38.0,726722.0,5340036.96,329262.0,,P1009.DCE,
P.DCE,20100106,7344.0,7348.0,7314.0,7466.0,7304.0,7376.0,7400.0,28.0,52.0,758566.0,5614162.48,345622.0,,P1009.DCE,
P.DCE,20100107,7376.0,7400.0,7420.0,7464.0,7030.0,7134.0,7222.0,-266.0,-178.0,971910.0,7019454.24,284252.0,,P1009.DCE,
P.DCE,20100108,7134.0,7222.0,7130.0,7150.0,6914.0,7036.0,7046.0,-186.0,-176.0,857686.0,6043303.9,264762.0,,P1009.DCE,
P.DCE,20100111,7036.0,7046.0,7124.0,7204.0,7120.0,7124.0,7156.0,78.0,110.0,697064.0,4989020.34,279150.0,,P1009.DCE,
P.DCE,20100112,7124.0,7156.0,7022.0,7100.0,7008.0,7034.0,7046.0,-122.0,-110.0,495840.0,3494675.41,286586.0,,P1009.DCE,
P.DCE,20100113,7034.0,7046.0,6800.0,6880.0,6736.0,6794.0,6820.0,-252.0,-226.0,544822.0,3716721.8,263236.0,,P1009.DCE,
P.DCE,20100114,6794.0,6820.0,6880.0,6918.0,6844.0,6888.0,6882.0,68.0,62.0,472570.0,3252956.44,248218.0,,P1009.DCE,
P.DCE,20100115,6888.0,6882.0,6860.0,6944.0,6786.0,6842.0,6868.0,-40.0,-14.0,586250.0,4027007.07,255726.0,,P1009.DCE,
P.DCE,20100118,6842.0,6868.0,6790.0,6862.0,6750.0,6820.0,6808.0,-48.0,-60.0,581646.0,3960531.42,308022.0,,P1009.DCE,
P.DCE,20100119,6820.0,6808.0,6850.0,6892.0,6810.0,6846.0,6848.0,38.0,40.0,434246.0,2974133.91,297188.0,,P1009.DCE,
P.DCE,20100120,6846.0,6848.0,6888.0,6894.0,6698.0,6702.0,6782.0,-146.0,-66.0,622982.0,4225990.39,292092.0,,P1009.DCE,
P.DCE,20100121,6702.0,6782.0,6688.0,6830.0,6662.0,6818.0,6732.0,36.0,-50.0,694602.0,4677403.2,280430.0,,P1009.DCE,
P.DCE,20100122,6818.0,6732.0,6752.0,6826.0,6658.0,6808.0,6752.0,76.0,20.0,786590.0,5311808.34,278932.0,,P1009.DCE,
P.DCE,20100125,6808.0,6752.0,6790.0,6868.0,6774.0,6818.0,6830.0,66.0,78.0,800640.0,5469718.1,313968.0,,P1009.DCE,
P.DCE,20100126,6818.0,6830.0,6826.0,6846.0,6706.0,6706.0,6774.0,-124.0,-56.0,765770.0,5187451.46,306826.0,,P1009.DCE,
P.DCE,20100127,6706.0,6774.0,6750.0,6774.0,6690.0,6750.0,6740.0,-24.0,-34.0,665180.0,4483800.14,289686.0,,P1009.DCE,
P.DCE,20100128,6750.0,6740.0,6682.0,6720.0,6618.0,6704.0,6684.0,-36.0,-56.0,631430.0,4221326.36,276574.0,,P1009.DCE,
P.DCE,20100129,6704.0,6684.0,6700.0,6772.0,6640.0,6646.0,6714.0,-38.0,30.0,720468.0,4838312.81,304518.0,,P1009.DCE,
P.DCE,20100201,6646.0,6714.0,6662.0,6682.0,6554.0,6556.0,6600.0,-158.0,-114.0,575700.0,3800368.38,286032.0,,P1009.DCE,
P.DCE,20100202,6556.0,6600.0,6644.0,6644.0,6534.0,6558.0,6582.0,-42.0,-18.0,459570.0,3025727.65,282612.0,,P1009.DCE,
P.DCE,20100203,6558.0,6582.0,6686.0,6724.0,6636.0,6720.0,6674.0,138.0,92.0,470116.0,3138138.59,285022.0,,P1009.DCE,
P.DCE,20100204,6720.0,6674.0,6662.0,6694.0,6608.0,6648.0,6648.0,-26.0,-26.0,447720.0,2976469.11,289572.0,,P1009.DCE,
P.DCE,20100205,6648.0,6648.0,6582.0,6728.0,6572.0,6684.0,6662.0,36.0,14.0,529578.0,3528249.96,295658.0,,P1009.DCE,
P.DCE,20100208,6684.0,6662.0,6740.0,6796.0,6732.0,6784.0,6766.0,122.0,104.0,469572.0,3177590.76,322866.0,,P1009.DCE,
P.DCE,20100209,6784.0,6766.0,6802.0,6814.0,6748.0,6776.0,6770.0,10.0,4.0,351342.0,2379153.12,310254.0,,P1009.DCE,
P.DCE,20100210,6776.0,6770.0,6800.0,6826.0,6730.0,6766.0,6782.0,-4.0,12.0,437428.0,2967215.56,306356.0,,P1009.DCE,
P.DCE,20100211,6766.0,6782.0,6800.0,6856.0,6800.0,6820.0,6832.0,38.0,50.0,233452.0,1594987.37,296490.0,,P1009.DCE,
P.DCE,20100212,6820.0,6832.0,6820.0,6842.0,6750.0,6782.0,6800.0,-50.0,-32.0,165296.0,1124197.32,291972.0,,P1009.DCE,
