ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close
V.DCE,20100104,7665.0,7670.0,7720.0,7730.0,7630.0,7635.0,7680.0,-35.0,10.0,147506.0,566591.8,109464.0,,V1003.DCE,
V.DCE,20100105,7635.0,7680.0,7685.0,7815.0,7655.0,7700.0,7730.0,20.0,50.0,227562.0,880033.92,105996.0,,V1003.DCE,
V.DCE,20100106,7700.0,7730.0,7690.0,7750.0,7645.0,7655.0,7705.0,-75.0,-25.0,102842.0,396260.72,102902.0,,V1003.DCE,
V.DCE,20100107,7655.0,7705.0,7695.0,7725.0,7340.0,7560.0,7615.0,-145.0,-90.0,121086.0,461322.24,86578.0,,V1003.DCE,
V.DCE,20100108,7560.0,7615.0,7600.0,7600.0,7415.0,7470.0,7490.0,-145.0,-125.0,59946.0,224503.25,69534.0,,V1003.DCE,
V.DCE,20100111,7470.0,7490.0,7520.0,7580.0,7500.0,7525.0,7525.0,35.0,35.0,30624.0,115241.16,65984.0,,V1003.DCE,
V.DCE,20100112,7525.0,7525.0,7510.0,7510.0,7445.0,7450.0,7460.0,-75.0,-65.0,18846.0,70332.51,61642.0,,V1003.DCE,
V.DCE,20100113,7450.0,7460.0,7350.0,7355.0,7270.0,7325.0,7325.0,-135.0,-135.0,26374.0,96612.94,48344.0,,V1003.DCE,
V.DCE,20100114,7325.0,7325.0,7345.0,7395.0,7340.0,7390.0,7365.0,65.0,40.0,10198.0,37567.26,45270.0,,V1003.DCE,
V.DCE,20100115,7390.0,7365.0,7360.0,7430.0,7355.0,7370.0,7380.0,5.0,15.0,6664.0,24591.54,42188.0,,V1003.DCE,
V.DCE,20100118,7370.0,7830.0,7690.0,7810.0,7680.0,7795.0,7755.0,-35.0,-75.0,49064.0,190344.82,52104.0,,V1005.DCE,7310.0
V.DCE,20100119,7795.0,7755.0,7800.0,7845.0,7750.0,7775.0,7780.0,20.0,25.0,54326.0,211416.8,50460.0,,V1005.DCE,
V.DCE,20100120,7775.0,7780.0,7820.0,7835.0,7725.0,7740.0,7775.0,-40.0,-5.0,58454.0,227272.99,48568.0,,V1005.DCE,
V.DCE,20100121,7740.0,7775.0,7700.0,7770.0,7690.0,7770.0,7730.0,-5.0,-45.0,43328.0,167557.68,45436.0,,V1005.DCE,
V.DCE,20100122,7770.0,7730.0,7680.0,7815.0,7660.0,7750.0,7740.0,20.0,10.0,113656.0,440001.66,48822.0,,V1005.DCE,
V.DCE,20100125,7750.0,7740.0,7730.0,7770.0,7705.0,7715.0,7725.0,-25.0,-15.0,48942.0,189112.27,54482.0,,V1005.DCE,
V.DCE,20100126,7715.0,7725.0,7735.0,7740.0,7600.0,7605.0,7660.0,-120.0,-65.0,56266.0,215602.77,56576.0,,V1005.DCE,
V.DCE,20100127,7605.0,7660.0,7630.0,7645.0,7530.0,7560.0,7580.0,-100.0,-80.0,49618.0,188169.9,56500.0,,V1005.DCE,
