ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close
A.DCE,20171128,3667.0,3667.0,3674.0,3677.0,3656.0,3666.0,3666.0,-1.0,-1.0,64328.0,235861.31,234064.0,,A1801.DCE,
A.DCE,20171129,3666.0,3666.0,3670.0,3670.0,3641.0,3641.0,3652.0,-25.0,-14.0,70032.0,255784.32,227592.0,,A1801.DCE,
A.DCE,20171130,3641.0,3652.0,3645.0,3648.0,3555.0,3560.0,3597.0,-92.0,-55.0,170114.0,611985.0,232708.0,,A1801.DCE,
A.DCE,20171201,3560.0,3597.0,3563.0,3589.0,3559.0,3572.0,3574.0,-25.0,-23.0,82022.0,293219.08,218936.0,,A1801.DCE,
A.DCE,20171204,3572.0,3574.0,3589.0,3602.0,3570.0,3600.0,3587.0,26.0,13.0,71306.0,255792.04,211364.0,,A1801.DCE,
A.DCE,20171205,3600.0,3587.0,3596.0,3604.0,3559.0,3575.0,3577.0,-12.0,-10.0,71660.0,256396.03,204700.0,,A1801.DCE,
A.DCE,20171206,3575.0,3577.0,3579.0,3598.0,3562.0,3573.0,3582.0,-4.0,5.0,80730.0,289239.51,199076.0,,A1801.DCE,
A.DCE,20171207,3573.0,3582.0,3575.0,3580.0,3446.0,3453.0,3497.0,-129.0,-85.0,175432.0,613567.75,182826.0,,A1801.DCE,
A.DCE,20171208,3453.0,3497.0,3450.0,3455.0,3410.0,3429.0,3436.0,-68.0,-61.0,83666.0,287536.3,170218.0,,A1801.DCE,
A.DCE,20171211,3429.0,3628.0,3634.0,3638.0,3607.0,3621.0,3623.0,-7.0,-5.0,106498.0,385880.74,200938.0,,A1805.DCE,3457.0
A.DCE,20171212,3621.0,3623.0,3617.0,3628.0,3601.0,3615.0,3613.0,-8.0,-10.0,133604.0,482765.99,234294.0,,A1805.DCE,
A.DCE,20171213,3615.0,3613.0,3610.0,3635.0,3581.0,3622.0,3615.0,9.0,2.0,142002.0,513382.32,241096.0,,A1805.DCE,
A.DCE,20171214,3622.0,3615.0,3618.0,3643.0,3618.0,3636.0,3629.0,21.0,14.0,92654.0,336270.71,236234.0,,A1805.DCE,
A.DCE,20171215,3636.0,3629.0,3636.0,3648.0,3626.0,3632.0,3637.0,3.0,8.0,77228.0,280918.8,238450.0,,A1805.DCE,
A.DCE,20171218,3632.0,3637.0,3646.0,3681.0,3618.0,3674.0,3651.0,37.0,14.0,132010.0,481988.67,233160.0,,A1805.DCE,
A.DCE,20171219,3674.0,3651.0,3673.0,3677.0,3650.0,3669.0,3665.0,18.0,14.0,90864.0,333041.61,232754.0,,A1805.DCE,
A.DCE,20171220,3669.0,3665.0,3664.0,3674.0,3634.0,3647.0,3656.0,-18.0,-9.0,88146.0,322277.45,237086.0,,A1805.DCE,
