ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close
CY.ZCE,20171128,22980.0,22965.0,23025.0,23185.0,22920.0,23175.0,23110.0,210.0,145.0,520.0,6008.73,560.0,,CY1801.ZCE,
CY.ZCE,20171129,23175.0,23110.0,23210.0,23240.0,23085.0,23100.0,23175.0,-10.0,65.0,226.0,2618.86,474.0,,CY1801.ZCE,
CY.ZCE,20171130,23100.0,23175.0,23100.0,23255.0,23100.0,23215.0,23190.0,40.0,15.0,166.0,1924.77,474.0,,CY1801.ZCE,
CY.ZCE,20171201,23215.0,23810.0,23005.0,24660.0,23005.0,23575.0,23550.0,-235.0,-260.0,682.0,8029.99,70.0,,CY1809.ZCE,23200.0
CY.ZCE,20171204,23575.0,23550.0,23445.0,23750.0,23390.0,23715.0,23635.0,165.0,85.0,84.0,992.62,74.0,,CY1809.ZCE,
CY.ZCE,20171205,23715.0,23635.0,23710.0,23710.0,23435.0,23570.0,23545.0,-65.0,-90.0,106.0,1247.99,84.0,,CY1809.ZCE,
CY.ZCE,20171206,23570.0,23545.0,23680.0,23680.0,23410.0,23530.0,23555.0,-15.0,10.0,22.0,259.09,84.0,,CY1809.ZCE,
CY.ZCE,20171207,23530.0,23555.0,23485.0,23500.0,23485.0,23485.0,23495.0,-70.0,-60.0,18.0,211.44,80.0,,CY1809.ZCE,
CY.ZCE,20171208,23485.0,23495.0,23350.0,23520.0,23350.0,23470.0,23455.0,-25.0,-40.0,44.0,516.06,68.0,,CY1809.ZCE,
CY.ZCE,20171211,23470.0,23455.0,23450.0,23450.0,23450.0,23450.0,23450.0,-5.0,-5.0,4.0,46.9,68.0,,CY1809.ZCE,
CY.ZCE,20171212,23450.0,23450.0,,,,,23450.0,,0.0,0.0,0.0,68.0,,CY1809.ZCE,
CY.ZCE,20171213,,23450.0,23495.0,23500.0,23495.0,23500.0,23500.0,50.0,50.0,10.0,117.5,68.0,,CY1809.ZCE,
CY.ZCE,20171214,23500.0,23500.0,23120.0,23480.0,23120.0,23480.0,23330.0,-20.0,-170.0,10.0,116.64,72.0,,CY1809.ZCE,
CY.ZCE,20171215,23480.0,23330.0,,,,,23330.0,,0.0,0.0,0.0,72.0,,CY1809.ZCE,
CY.ZCE,20171218,,23330.0,23355.0,23450.0,23355.0,23450.0,23405.0,120.0,75.0,4.0,46.81,70.0,,CY1809.ZCE,
CY.ZCE,20171219,23450.0,23405.0,,,,,23405.0,,0.0,0.0,0.0,70.0,,CY1809.ZCE,
CY.ZCE,20171220,,23405.0,,,,,23405.0,,0.0,0.0,0.0,70.0,,CY1809.ZCE,
CY.ZCE,20171221,,23405.0,,,,,23405.0,,0.0,0.0,0.0,70.0,,CY1809.ZCE,
CY.ZCE,20171222,,23405.0,23235.0,23235.0,23230.0,23230.0,23235.0,-175.0,-170.0,4.0,46.47,68.0,,CY1809.ZCE,
CY.ZCE,20171225,23230.0,23235.0,,,,,23235.0,,0.0,0.0,0.0,68.0,,CY1809.ZCE,
CY.ZCE,20171226,,23235.0,22995.0,22995.0,22995.0,22995.0,22995.0,-240.0,-240.0,4.0,45.99,68.0,,CY1809.ZCE,
