ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close
SR.ZCE,20171128,6487.0,6466.0,6488.0,6513.0,6471.0,6504.0,6489.0,38.0,23.0,241062.0,1564177.46,640002.0,,SR1801.ZCE,
SR.ZCE,20171129,6504.0,6489.0,6498.0,6622.0,6450.0,6470.0,6513.0,-19.0,24.0,436562.0,2843380.43,601768.0,,SR1801.ZCE,
SR.ZCE,20171130,6470.0,6513.0,6453.0,6484.0,6364.0,6386.0,6421.0,-127.0,-92.0,287958.0,1848914.48,547050.0,,SR1801.ZCE,
SR.ZCE,20171201,6386.0,6421.0,6392.0,6450.0,6387.0,6413.0,6417.0,-8.0,-4.0,184406.0,1183391.28,547228.0,,SR1801.ZCE,
SR.ZCE,20171204,6413.0,6417.0,6410.0,6453.0,6385.0,6430.0,6422.0,13.0,5.0,163982.0,1053017.68,541502.0,,SR1801.ZCE,
SR.ZCE,20171205,6430.0,6422.0,6417.0,6514.0,6417.0,6494.0,6475.0,72.0,53.0,154936.0,1003154.33,524510.0,,SR1801.ZCE,
SR.ZCE,20171206,6494.0,6475.0,6495.0,6522.0,6479.0,6506.0,6500.0,31.0,25.0,101762.0,661468.57,510974.0,,SR1801.ZCE,
SR.ZCE,20171207,6506.0,6500.0,6506.0,6530.0,6481.0,6517.0,6503.0,17.0,3.0,92776.0,603357.4,504918.0,,SR1801.ZCE,
SR.ZCE,20171208,6517.0,6503.0,6510.0,6538.0,6498.0,6536.0,6511.0,33.0,8.0,83016.0,540497.04,499054.0,,SR1801.ZCE,
SR.ZCE,20171211,6536.0,6511.0,6550.0,6560.0,6507.0,6530.0,6529.0,19.0,18.0,122060.0,796964.22,481226.0,,SR1801.ZCE,
SR.ZCE,20171212,6530.0,6529.0,6529.0,6535.0,6487.0,6498.0,6511.0,-31.0,-18.0,93572.0,609238.79,465190.0,,SR1801.ZCE,
SR.ZCE,20171213,6498.0,6511.0,6497.0,6499.0,6333.0,6342.0,6413.0,-169.0,-98.0,227692.0,1460311.78,380792.0,,SR1801.ZCE,
SR.ZCE,20171214,6342.0,6056.0,6031.0,6037.0,5952.0,5959.0,5987.0,-97.0,-69.0,378916.0,2268416.32,472344.0,,SR1805.ZCE,6250.0
