ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
IM.CFX,20220722,,7018.8,7050.0,7085.2,6857.0,6956.6,6934.2,-62.2,-84.6,22153.0,3091913.32,17517.0,,IM2208.CFX,,1.0,6956.6,7050.0,7085.2,6857.0,6934.2
IM.CFX,20220725,6956.6,6934.2,6974.2,7015.8,6850.0,6878.6,6885.8,-55.6,-48.4,22883.0,3169970.476,18747.0,,IM2208.CFX,,1.0,6878.6,6974.2,7015.8,6850.0,6885.8
IM.CFX,20220726,6878.6,6885.8,6898.0,6994.0,6844.8,6991.0,6964.4,105.2,78.6,19269.0,2671200.584,20386.0,,IM2208.CFX,,1.0,6991.0,6898.0,6994.0,6844.8,6964.4
IM.CFX,20220727,6991.0,6964.4,6982.0,7074.4,6965.2,7066.2,7059.4,101.8,95.0,19290.0,2711399.276,21390.0,,IM2208.CFX,,1.0,7066.2,6982.0,7074.4,6965.2,7059.4
IM.CFX,20220728,7066.2,7059.4,7110.0,7171.4,7072.4,7119.0,7112.4,59.6,53.0,22464.0,3199380.992,24584.0,,IM2208.CFX,,1.0,7119.0,7110.0,7171.4,7072.4,7112.4
IM.CFX,20220729,7119.0,7112.4,7130.0,7152.0,7068.0,7087.0,7090.2,-25.4,-22.2,25025.0,3556014.512,25557.0,,IM2208.CFX,,1.0,7087.0,7130.0,7152.0,7068.0,7090.2
IM.CFX,20220801,7087.0,7090.2,7070.2,7141.0,7004.4,7136.6,7130.0,46.4,39.8,22084.0,3130993.02,24149.0,,IM2208.CFX,,1.0,7136.6,7070.2,7141.0,7004.4,7130.0
IM.CFX,20220802,7136.6,7130.0,7070.0,7075.0,6820.4,6948.2,6975.4,-181.8,-154.6,37753.0,5245061.592,31769.0,,IM2208.CFX,,1.0,6948.2,7070.0,7075.0,6820.4,6975.4
IM.CFX,20220803,6948.2,6975.4,6990.0,7062.0,6860.8,6882.8,6914.6,-92.6,-60.8,32325.0,4520482.06,29243.0,,IM2208.CFX,,1.0,6882.8,6990.0,7062.0,6860.8,6914.6
IM.CFX,20220804,6882.8,6914.6,6933.0,6942.8,6778.2,6890.8,6872.0,-23.8,-42.6,35394.0,4861552.848,30899.0,,IM2208.CFX,,1.0,6890.8,6933.0,6942.8,6778.2,6872.0
IM.CFX,20220805,6890.8,6872.0,6903.4,7080.8,6903.4,7080.0,7051.4,208.0,179.4,31492.0,4399359.616,28786.0,,IM2208.CFX,,1.0,7080.0,6903.4,7080.8,6903.4,7051.4
IM.CFX,20220808,7080.0,7051.4,7060.0,7145.0,7039.6,7132.2,7130.6,80.8,79.2,20853.0,2959627.7,26514.0,,IM2208.CFX,,1.0,7132.2,7060.0,7145.0,7039.6,7130.6
IM.CFX,20220809,7132.2,7130.6,7120.0,7164.8,7084.4,7160.6,7154.4,30.0,23.8,18871.0,2690369.828,25359.0,,IM2208.CFX,,1.0,7160.6,7120.0,7164.8,7084.4,7154.4
IM.CFX,20220810,7160.6,7154.4,7138.0,7202.0,7130.0,7168.4,7158.2,14.0,3.8,21848.0,3132424.456,26391.0,,IM2208.CFX,,1.0,7168.4,7138.0,7202.0,7130.0,7158.2
IM.CFX,20220811,7168.4,7158.2,7201.4,7287.6,7179.6,7284.8,7278.6,126.6,120.4,22671.0,3283346.204,24871.0,,IM2208.CFX,,1.0,7284.8,7201.4,7287.6,7179.6,7278.6
IM.CFX,20220812,7284.8,7278.6,7275.0,7306.0,7205.4,7222.4,7228.8,-56.2,-49.8,19678.0,2857735.04,23573.0,,IM2208.CFX,,1.0,7222.4,7275.0,7306.0,7205.4,7228.8
IM.CFX,20220815,7222.4,7228.8,7210.0,7297.6,7206.0,7266.0,7262.4,37.2,33.6,20698.0,3004605.308,23063.0,,IM2208.CFX,,1.0,7266.0,7210.0,7297.6,7206.0,7262.4
IM.CFX,20220816,7266.0,7262.4,7275.0,7361.4,7257.2,7311.0,7305.6,48.6,43.2,21099.0,3085633.892,20891.0,,IM2208.CFX,,1.0,7311.0,7275.0,7361.4,7257.2,7305.6
IM.CFX,20220817,7311.0,7305.6,7317.0,7346.4,7263.8,7327.6,7325.8,22.0,20.2,18274.0,2671222.644,17086.0,,IM2208.CFX,,1.0,7327.6,7317.0,7346.4,7263.8,7325.8
IM.CFX,20220818,7327.6,7325.8,7320.0,7370.4,7303.0,7358.8,7352.0,33.0,26.2,14405.0,2112073.424,10606.0,,IM2208.CFX,,1.0,7358.8,7320.0,7370.4,7303.0,7352.0
IM.CFX,20220819,7358.8,7307.4,7319.0,7337.0,7183.2,7186.4,7203.2,-121.0,-104.2,31515.0,4571510.168,41807.0,,IM2209.CFX,7277.8,1.0127184682177448,7277.800000000001,7412.086468885675,7430.315401313594,7274.559300901704,7294.8136702660595
IM.CFX,20220822,7186.4,7203.2,7179.8,7252.8,7119.4,7232.4,7239.4,29.2,36.2,27615.0,3975629.24,41665.0,,IM2209.CFX,,1.0127184682177448,7324.3850495380175,7271.116058109765,7345.04450628966,7209.947862629412,7331.474078815541
IM.CFX,20220823,7232.4,7239.4,7224.0,7259.8,7208.6,7253.6,7241.0,14.2,1.6,25221.0,3649923.02,40321.0,,IM2209.CFX,,1.0127184682177448,7345.854681064234,7315.878214404988,7352.133535567184,7300.282349994435,7333.09442836469
IM.CFX,20220824,7253.6,7241.0,7263.0,7277.0,6951.4,6969.8,6977.6,-271.2,-263.4,43723.0,6184552.752,45038.0,,IM2209.CFX,,1.0127184682177448,7058.445179784038,7355.374234665481,7369.552293220529,7039.811159968831,7066.344383836136
IM.CFX,20220825,6969.8,6977.6,6995.0,6999.0,6865.0,6940.4,6913.8,-37.2,-63.8,40047.0,5549828.52,44392.0,,IM2209.CFX,,1.0127184682177448,7028.671256818436,7083.965685183125,7088.0165590559955,6952.3122843148185,7001.732945563845
IM.CFX,20220826,6940.4,6913.8,6968.6,7032.0,6886.4,6911.6,6911.6,-2.2,-2.2,34552.0,4814301.016,44639.0,,IM2209.CFX,,1.0127184682177448,6999.504964933765,7057.229917622177,7121.436268507182,6973.984459534678,6999.504964933765
IM.CFX,20220829,6911.6,6911.6,6810.0,6979.0,6805.0,6950.0,6953.8,38.4,42.2,35892.0,4968113.752,45432.0,,IM2209.CFX,,1.0127184682177448,7038.3933541133265,6896.612768562843,7067.762189691641,6891.549176221753,7042.241684292554
IM.CFX,20220830,6950.0,6953.8,6954.2,6965.4,6887.2,6941.0,6932.4,-12.8,-21.4,30897.0,4282591.004,43960.0,,IM2209.CFX,,1.0127184682177448,7029.278887899367,7042.646771679841,7053.98921852388,6974.794634309252,7020.569509072694
IM.CFX,20220831,6941.0,6932.4,6918.4,6931.8,6699.0,6710.2,6731.0,-222.2,-201.4,47768.0,6488065.436,48827.0,,IM2209.CFX,,1.0127184682177448,6795.543465434711,7006.391450517645,7019.961877991764,6784.201018590673,6816.608009573641
IM.CFX,20220901,6710.2,6731.0,6720.0,6787.2,6649.8,6682.6,6679.2,-48.4,-51.8,38108.0,5123213.628,43659.0,,IM2209.CFX,,1.0127184682177448,6767.592435711902,6805.468106423245,6873.522787487477,6734.375269954359,6764.149192919961
