ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
LG.DCE,20241118,,810.0,750.0,780.0,750.0,764.0,764.0,-46.0,-46.0,89550.0,615969.32,10593.0,,LG2507.DCE,,1.0,764.0,750.0,780.0,750.0,764.0
LG.DCE,20241119,764.0,764.0,765.0,778.0,761.5,772.0,770.5,8.0,6.5,66189.0,459106.22,11420.0,,LG2507.DCE,,1.0,772.0,765.0,778.0,761.5,770.5
LG.DCE,20241120,772.0,770.5,770.0,775.0,764.5,770.0,768.5,-0.5,-2.0,25015.0,173106.43,10048.0,,LG2507.DCE,,1.0,770.0,770.0,775.0,764.5,768.5
LG.DCE,20241121,770.0,768.5,771.5,814.5,768.0,814.5,803.5,46.0,35.0,201745.0,1459807.25,34955.0,,LG2507.DCE,,1.0,814.5,771.5,814.5,768.0,803.5
LG.DCE,20241122,814.5,803.5,815.5,827.0,802.0,809.5,816.5,6.0,13.0,282985.0,2080441.96,27376.0,,LG2507.DCE,,1.0,809.5,815.5,827.0,802.0,816.5
LG.DCE,20241125,809.5,816.5,809.5,815.5,790.5,797.5,799.5,-19.0,-17.0,192107.0,1382814.43,26222.0,,LG2507.DCE,,1.0,797.5,809.5,815.5,790.5,799.5
LG.DCE,20241126,797.5,799.5,794.0,806.0,793.0,797.0,799.5,-2.5,0.0,91770.0,660425.34,27029.0,,LG2507.DCE,,1.0,797.0,794.0,806.0,793.0,799.5
LG.DCE,20241127,797.0,799.5,798.0,801.0,792.0,796.5,796.5,-3.0,-3.0,58989.0,423045.21,24904.0,,LG2507.DCE,,1.0,796.5,798.0,801.0,792.0,796.5
LG.DCE,20241128,796.5,796.5,795.0,815.0,794.0,797.5,805.0,1.0,8.5,124809.0,904479.34,23903.0,,LG2507.DCE,,1.0,797.5,795.0,815.0,794.0,805.0
LG.DCE,20241129,797.5,805.0,797.0,805.0,796.0,801.5,801.5,-3.5,-3.5,38599.0,278574.52,20915.0,,LG2507.DCE,,1.0,801.5,797.0,805.0,796.0,801.5
LG.DCE,20241202,801.5,801.5,802.0,806.5,797.0,801.0,801.5,-0.5,0.0,23717.0,171151.72,20372.0,,LG2507.DCE,,1.0,801.0,802.0,806.5,797.0,801.5
LG.DCE,20241203,801.0,801.5,800.5,802.0,796.0,800.5,799.5,-1.0,-2.0,19275.0,138762.26,17436.0,,LG2507.DCE,,1.0,800.5,800.5,802.0,796.0,799.5
LG.DCE,20241204,800.5,799.5,800.0,810.0,798.5,800.0,803.5,0.5,4.0,29412.0,212824.14,17101.0,,LG2507.DCE,,1.0,800.0,800.0,810.0,798.5,803.5
LG.DCE,20241205,800.0,803.5,800.0,803.0,783.5,795.0,797.0,-8.5,-6.5,18780.0,134791.97,15065.0,,LG2507.DCE,,1.0,795.0,800.0,803.0,783.5,797.0
LG.DCE,20241206,795.0,797.0,795.0,796.0,789.0,793.0,792.5,-4.0,-4.5,13243.0,94497.27,13715.0,,LG2507.DCE,,1.0,793.0,795.0,796.0,789.0,792.5
LG.DCE,20241209,793.0,792.5,795.0,800.0,794.0,795.5,796.5,3.0,4.0,10050.0,72043.44,13541.0,,LG2507.DCE,,1.0,795.5,795.0,800.0,794.0,796.5
LG.DCE,20241210,795.5,796.5,808.0,812.0,799.0,804.0,804.0,7.5,7.5,19829.0,143566.69,13150.0,,LG2507.DCE,,1.0,804.0,808.0,812.0,799.0,804.0
LG.DCE,20241211,804.0,804.0,806.0,806.0,801.0,803.5,803.0,-0.5,-1.0,7793.0,56333.68,11193.0,,LG2507.DCE,,1.0,803.5,806.0,806.0,801.0,803.0
LG.DCE,20241212,803.5,803.0,803.5,807.0,802.0,804.5,804.5,1.5,1.5,6282.0,45488.61,11209.0,,LG2507.DCE,,1.0,804.5,803.5,807.0,802.0,804.5
LG.DCE,20241213,804.5,804.5,800.0,802.5,798.0,801.0,800.0,-3.5,-4.5,7307.0,52639.33,10903.0,,LG2507.DCE,,1.0,801.0,800.0,802.5,798.0,800.0
LG.DCE,20241216,801.0,800.0,802.0,806.0,801.0,803.0,803.5,3.0,3.5,6200.0,44850.18,10705.0,,LG2507.DCE,,1.0,803.0,802.0,806.0,801.0,803.5
LG.DCE,20241217,803.0,803.5,803.0,819.5,802.0,807.5,810.0,4.0,6.5,20534.0,149728.32,12745.0,,LG2507.DCE,,1.0,807.5,803.0,819.5,802.0,810.0
LG.DCE,20241218,807.5,810.0,808.0,814.0,806.5,808.5,809.5,-1.5,-0.5,12072.0,87993.33,12298.0,,LG2507.DCE,,1.0,808.5,808.0,814.0,806.5,809.5
LG.DCE,20241219,808.5,809.5,809.0,813.0,808.0,810.5,810.5,1.0,1.0,9166.0,66868.34,13191.0,,LG2507.DCE,,1.0,810.5,809.0,813.0,808.0,810.5
LG.DCE,20241220,810.5,810.5,812.0,829.5,810.5,829.0,818.0,18.5,7.5,23325.0,171730.07,18469.0,,LG2507.DCE,,1.0,829.0,812.0,829.5,810.5,818.0
LG.DCE,20241223,829.0,818.0,826.5,839.0,819.0,823.0,828.5,5.0,10.5,68630.0,511759.35,20154.0,,LG2507.DCE,,1.0,823.0,826.5,839.0,819.0,828.5
LG.DCE,20241224,823.0,828.5,822.0,831.0,822.0,829.0,827.5,0.5,-1.0,18255.0,135968.85,21716.0,,LG2507.DCE,,1.0,829.0,822.0,831.0,822.0,827.5
LG.DCE,20241225,829.0,827.5,830.0,834.5,822.0,823.5,826.0,-4.0,-1.5,18936.0,140841.81,19732.0,,LG2507.DCE,,1.0,823.5,830.0,834.5,822.0,826.0
LG.DCE,20241226,823.5,826.0,822.0,826.5,814.0,816.0,819.0,-10.0,-7.0,22407.0,165233.47,18291.0,,LG2507.DCE,,1.0,816.0,822.0,826.5,814.0,819.0
LG.DCE,20241227,816.0,819.0,816.0,828.0,815.5,824.5,823.5,5.5,4.5,17417.0,129090.58,16613.0,,LG2507.DCE,,1.0,824.5,816.0,828.0,815.5,823.5
LG.DCE,20241230,824.5,823.5,822.0,827.5,819.0,823.5,822.0,0.0,-1.5,8709.0,64460.03,15869.0,,LG2507.DCE,,1.0,823.5,822.0,827.5,819.0,822.0
LG.DCE,20241231,823.5,822.0,821.0,831.5,820.0,827.5,827.0,5.5,5.0,15589.0,116071.82,16802.0,,LG2507.DCE,,1.0,827.5,821.0,831.5,820.0,827.0
LG.DCE,20250102,827.5,827.0,829.0,837.5,825.0,829.0,831.0,2.0,4.0,25704.0,192270.34,18483.0,,LG2507.DCE,,1.0,829.0,829.0,837.5,825.0,831.0
LG.DCE,20250103,829.0,831.0,829.0,832.0,823.0,829.0,827.0,-2.0,-4.0,14157.0,105391.65,17173.0,,LG2507.DCE,,1.0,829.0,829.0,832.0,823.0,827.0
LG.DCE,20250106,829.0,827.0,831.5,846.0,828.0,840.5,837.5,13.5,10.5,42290.0,318799.0,24438.0,,LG2507.DCE,,1.0,840.5,831.5,846.0,828.0,837.5
LG.DCE,20250107,840.5,837.5,839.5,849.0,836.0,848.0,843.5,10.5,6.0,35604.0,270405.49,27689.0,,LG2507.DCE,,1.0,848.0,839.5,849.0,836.0,843.5
LG.DCE,20250108,848.0,843.5,849.0,858.5,844.0,849.5,851.0,6.0,7.5,42102.0,322514.33,28772.0,,LG2507.DCE,,1.0,849.5,849.0,858.5,844.0,851.0
LG.DCE,20250109,849.5,851.0,848.5,852.5,843.0,847.0,847.5,-4.0,-3.5,23967.0,182824.39,27475.0,,LG2507.DCE,,1.0,847.0,848.5,852.5,843.0,847.5
LG.DCE,20250110,847.0,847.5,847.0,863.5,845.5,862.0,856.0,14.5,8.5,35287.0,271922.87,31970.0,,LG2507.DCE,,1.0,862.0,847.0,863.5,845.5,856.0
LG.DCE,20250113,862.0,856.0,862.5,881.5,862.0,869.5,872.5,13.5,16.5,57371.0,450603.4,33470.0,,LG2507.DCE,,1.0,869.5,862.5,881.5,862.0,872.5
LG.DCE,20250114,869.5,872.5,868.0,873.0,855.0,861.5,862.5,-11.0,-10.0,34862.0,270647.22,31037.0,,LG2507.DCE,,1.0,861.5,868.0,873.0,855.0,862.5
LG.DCE,20250115,861.5,862.5,860.0,871.5,844.0,855.0,855.5,-7.5,-7.0,59704.0,459920.56,28716.0,,LG2507.DCE,,1.0,855.0,860.0,871.5,844.0,855.5
LG.DCE,20250116,855.0,855.5,860.0,868.5,857.0,864.5,863.0,9.0,7.5,26469.0,205591.54,28763.0,,LG2507.DCE,,1.0,864.5,860.0,868.5,857.0,863.0
LG.DCE,20250117,864.5,863.0,865.5,869.5,857.5,864.5,863.5,1.5,0.5,22919.0,178141.85,28669.0,,LG2507.DCE,,1.0,864.5,865.5,869.5,857.5,863.5
LG.DCE,20250120,864.5,863.5,865.5,874.0,860.0,864.0,866.5,0.5,3.0,32289.0,251836.24,28688.0,,LG2507.DCE,,1.0,864.0,865.5,874.0,860.0,866.5
LG.DCE,20250121,864.0,866.5,865.0,865.5,854.5,856.5,859.5,-10.0,-7.0,18361.0,142095.01,27748.0,,LG2507.DCE,,1.0,856.5,865.0,865.5,854.5,859.5
LG.DCE,20250122,856.5,859.5,855.0,862.0,848.0,857.0,854.5,-2.5,-5.0,20405.0,156961.22,25293.0,,LG2507.DCE,,1.0,857.0,855.0,862.0,848.0,854.5
LG.DCE,20250123,857.0,854.5,857.0,861.5,856.0,861.0,858.5,6.5,4.0,10121.0,78229.6,24832.0,,LG2507.DCE,,1.0,861.0,857.0,861.5,856.0,858.5
LG.DCE,20250124,861.0,858.5,861.5,873.5,859.0,870.5,866.0,12.0,7.5,15502.0,120854.38,25549.0,,LG2507.DCE,,1.0,870.5,861.5,873.5,859.0,866.0
LG.DCE,20250127,870.5,866.0,870.0,876.5,869.0,875.0,873.0,9.0,7.0,11114.0,87359.27,25264.0,,LG2507.DCE,,1.0,875.0,870.0,876.5,869.0,873.0
LG.DCE,20250205,875.0,873.0,882.0,882.0,863.0,867.5,869.5,-5.5,-3.5,17762.0,139042.76,25210.0,,LG2507.DCE,,1.0,867.5,882.0,882.0,863.0,869.5
LG.DCE,20250206,867.5,869.5,870.0,890.0,863.0,890.0,878.0,20.5,8.5,33683.0,266197.4,33553.0,,LG2507.DCE,,1.0,890.0,870.0,890.0,863.0,878.0
