ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
OP.SHF,20250910,,4218.0,4150.0,4332.0,4110.0,4208.0,4238.0,-10.0,20.0,20874.0,353885.23,2610.0,,OP2601.SHF,,1.0,4208.0,4150.0,4332.0,4110.0,4238.0
OP.SHF,20250911,4208.0,4238.0,4216.0,4288.0,4216.0,4242.0,4254.0,4.0,16.0,12771.0,217342.77,2919.0,,OP2601.SHF,,1.0,4242.0,4216.0,4288.0,4216.0,4254.0
OP.SHF,20250912,4242.0,4254.0,4240.0,4248.0,4200.0,4224.0,4220.0,-30.0,-34.0,4688.0,79135.08,2924.0,,OP2601.SHF,,1.0,4224.0,4240.0,4248.0,4200.0,4220.0
OP.SHF,20250915,4224.0,4220.0,4230.0,4240.0,4194.0,4218.0,4214.0,-2.0,-6.0,2726.0,45969.4,2799.0,,OP2601.SHF,,1.0,4218.0,4230.0,4240.0,4194.0,4214.0
OP.SHF,20250916,4218.0,4214.0,4220.0,4288.0,4212.0,4264.0,4258.0,50.0,44.0,5046.0,85975.01,1982.0,,OP2601.SHF,,1.0,4264.0,4220.0,4288.0,4212.0,4258.0
OP.SHF,20250917,4264.0,4258.0,4260.0,4270.0,4250.0,4256.0,4258.0,-2.0,0.0,1227.0,20903.99,1936.0,,OP2601.SHF,,1.0,4256.0,4260.0,4270.0,4250.0,4258.0
OP.SHF,20250918,4256.0,4258.0,4258.0,4260.0,4212.0,4222.0,4232.0,-36.0,-26.0,1206.0,20416.08,1887.0,,OP2601.SHF,,1.0,4222.0,4258.0,4260.0,4212.0,4232.0
OP.SHF,20250919,4222.0,4232.0,4230.0,4244.0,4222.0,4226.0,4232.0,-6.0,0.0,601.0,10174.67,1719.0,,OP2601.SHF,,1.0,4226.0,4230.0,4244.0,4222.0,4232.0
OP.SHF,20250922,4226.0,4232.0,4228.0,4254.0,4226.0,4234.0,4238.0,2.0,6.0,764.0,12954.58,1651.0,,OP2601.SHF,,1.0,4234.0,4228.0,4254.0,4226.0,4238.0
OP.SHF,20250923,4234.0,4238.0,4232.0,4246.0,4212.0,4226.0,4230.0,-12.0,-8.0,766.0,12965.02,1590.0,,OP2601.SHF,,1.0,4226.0,4232.0,4246.0,4212.0,4230.0
OP.SHF,20250924,4226.0,4230.0,4226.0,4240.0,4220.0,4238.0,4230.0,8.0,0.0,438.0,7412.7,1508.0,,OP2601.SHF,,1.0,4238.0,4226.0,4240.0,4220.0,4230.0
OP.SHF,20250925,4238.0,4230.0,4274.0,4274.0,4232.0,4238.0,4238.0,8.0,8.0,470.0,7970.38,1468.0,,OP2601.SHF,,1.0,4238.0,4274.0,4274.0,4232.0,4238.0
OP.SHF,20250926,4238.0,4238.0,4234.0,4244.0,4230.0,4230.0,4232.0,-8.0,-6.0,408.0,6909.86,1358.0,,OP2601.SHF,,1.0,4230.0,4234.0,4244.0,4230.0,4232.0
OP.SHF,20250929,4230.0,4232.0,4230.0,4242.0,4230.0,4234.0,4232.0,2.0,0.0,395.0,6688.71,1237.0,,OP2601.SHF,,1.0,4234.0,4230.0,4242.0,4230.0,4232.0
OP.SHF,20250930,4234.0,4232.0,4238.0,4240.0,4230.0,4230.0,4232.0,-2.0,0.0,149.0,2522.86,1189.0,,OP2601.SHF,,1.0,4230.0,4238.0,4240.0,4230.0,4232.0
OP.SHF,20251009,4230.0,4232.0,4214.0,4230.0,4204.0,4228.0,4214.0,-4.0,-18.0,254.0,4281.83,1179.0,,OP2601.SHF,,1.0,4228.0,4214.0,4230.0,4204.0,4214.0
OP.SHF,20251010,4228.0,4214.0,4210.0,4236.0,4210.0,4226.0,4224.0,12.0,10.0,340.0,5746.3,1148.0,,OP2601.SHF,,1.0,4226.0,4210.0,4236.0,4210.0,4224.0
OP.SHF,20251013,4226.0,4224.0,4226.0,4236.0,4206.0,4210.0,4216.0,-14.0,-8.0,449.0,7572.41,1169.0,,OP2601.SHF,,1.0,4210.0,4226.0,4236.0,4206.0,4216.0
OP.SHF,20251014,4210.0,4216.0,4214.0,4216.0,4200.0,4216.0,4208.0,0.0,-8.0,323.0,5439.02,1140.0,,OP2601.SHF,,1.0,4216.0,4214.0,4216.0,4200.0,4208.0
OP.SHF,20251015,4216.0,4208.0,4210.0,4224.0,4206.0,4206.0,4214.0,-2.0,6.0,282.0,4755.14,1153.0,,OP2601.SHF,,1.0,4206.0,4210.0,4224.0,4206.0,4214.0
OP.SHF,20251016,4206.0,4214.0,4206.0,4218.0,4200.0,4210.0,4210.0,-4.0,-4.0,179.0,3014.568,1107.0,,OP2601.SHF,,1.0,4210.0,4206.0,4218.0,4200.0,4210.0
OP.SHF,20251017,4210.0,4210.0,4210.0,4214.0,4200.0,4202.0,4206.0,-8.0,-4.0,266.0,4476.072,1148.0,,OP2601.SHF,,1.0,4202.0,4210.0,4214.0,4200.0,4206.0
OP.SHF,20251020,4202.0,4206.0,4206.0,4210.0,4156.0,4166.0,4174.0,-40.0,-32.0,503.0,8402.09,1209.0,,OP2601.SHF,,1.0,4166.0,4206.0,4210.0,4156.0,4174.0
OP.SHF,20251021,4166.0,4174.0,4144.0,4182.0,4144.0,4170.0,4166.0,-4.0,-8.0,485.0,8085.81,1220.0,,OP2601.SHF,,1.0,4170.0,4144.0,4182.0,4144.0,4166.0
OP.SHF,20251022,4170.0,4166.0,4166.0,4210.0,4158.0,4198.0,4184.0,32.0,18.0,374.0,6260.728,1164.0,,OP2601.SHF,,1.0,4198.0,4166.0,4210.0,4158.0,4184.0
OP.SHF,20251023,4198.0,4184.0,4198.0,4210.0,4198.0,4206.0,4202.0,22.0,18.0,192.0,3228.45,1141.0,,OP2601.SHF,,1.0,4206.0,4198.0,4210.0,4198.0,4202.0
OP.SHF,20251024,4206.0,4202.0,4208.0,4208.0,4192.0,4192.0,4198.0,-10.0,-4.0,166.0,2788.06,1143.0,,OP2601.SHF,,1.0,4192.0,4208.0,4208.0,4192.0,4198.0
OP.SHF,20251027,4192.0,4198.0,4188.0,4250.0,4188.0,4232.0,4226.0,34.0,28.0,540.0,9129.08,1109.0,,OP2601.SHF,,1.0,4232.0,4188.0,4250.0,4188.0,4226.0
OP.SHF,20251028,4232.0,4226.0,4240.0,4240.0,4220.0,4226.0,4228.0,0.0,2.0,337.0,5701.58,1001.0,,OP2601.SHF,,1.0,4226.0,4240.0,4240.0,4220.0,4228.0
OP.SHF,20251029,4226.0,4228.0,4232.0,4238.0,4226.0,4230.0,4230.0,2.0,2.0,230.0,3891.85,943.0,,OP2601.SHF,,1.0,4230.0,4232.0,4238.0,4226.0,4230.0
OP.SHF,20251030,4230.0,4230.0,4230.0,4248.0,4210.0,4214.0,4230.0,-16.0,0.0,200.0,3384.38,924.0,,OP2601.SHF,,1.0,4214.0,4230.0,4248.0,4210.0,4230.0
OP.SHF,20251031,4214.0,4230.0,4216.0,4230.0,4216.0,4222.0,4222.0,-8.0,-8.0,102.0,1723.17,921.0,,OP2601.SHF,,1.0,4222.0,4216.0,4230.0,4216.0,4222.0
OP.SHF,20251103,4222.0,4222.0,4228.0,4288.0,4220.0,4284.0,4264.0,62.0,42.0,632.0,10782.11,942.0,,OP2601.SHF,,1.0,4284.0,4228.0,4288.0,4220.0,4264.0
OP.SHF,20251104,4284.0,4264.0,4294.0,4314.0,4266.0,4266.0,4292.0,2.0,28.0,446.0,7657.92,943.0,,OP2601.SHF,,1.0,4266.0,4294.0,4314.0,4266.0,4292.0
OP.SHF,20251105,4266.0,4292.0,4290.0,4300.0,4276.0,4288.0,4284.0,-4.0,-8.0,171.0,2931.32,967.0,,OP2601.SHF,,1.0,4288.0,4290.0,4300.0,4276.0,4284.0
OP.SHF,20251106,4288.0,4284.0,4296.0,4326.0,4260.0,4276.0,4286.0,-8.0,2.0,288.0,4938.19,949.0,,OP2601.SHF,,1.0,4276.0,4296.0,4326.0,4260.0,4286.0
OP.SHF,20251107,4276.0,4286.0,4290.0,4290.0,4264.0,4278.0,4270.0,-8.0,-16.0,91.0,1554.96,922.0,,OP2601.SHF,,1.0,4278.0,4290.0,4290.0,4264.0,4270.0
OP.SHF,20251110,4278.0,4270.0,4276.0,4316.0,4276.0,4314.0,4292.0,44.0,22.0,163.0,2799.43,931.0,,OP2601.SHF,,1.0,4314.0,4276.0,4316.0,4276.0,4292.0
OP.SHF,20251111,4314.0,4292.0,4318.0,4328.0,4292.0,4318.0,4308.0,26.0,16.0,1231.0,21220.84,973.0,,OP2601.SHF,,1.0,4318.0,4318.0,4328.0,4292.0,4308.0
OP.SHF,20251112,4318.0,4314.0,4360.0,4360.0,4288.0,4302.0,4312.0,-12.0,-2.0,4328.0,74662.16,5120.0,,OP2602.SHF,4300.0,0.99953509995351,4300.0,4357.973035797303,4357.973035797303,4286.006508600651,4309.995350999535
OP.SHF,20251113,4302.0,4312.0,4300.0,4320.0,4250.0,4254.0,4304.0,-58.0,-8.0,3442.0,59274.74,6421.0,,OP2602.SHF,,0.99953509995351,4252.022315202232,4298.000929800093,4317.991631799163,4248.024174802417,4301.999070199907
OP.SHF,20251114,4254.0,4304.0,4260.0,4302.0,4252.0,4260.0,4282.0,-44.0,-22.0,4248.0,72793.18,7668.0,,OP2602.SHF,,0.99953509995351,4258.019525801952,4258.019525801952,4300.0,4250.023245002324,4280.009298000929
OP.SHF,20251117,4260.0,4282.0,4260.0,4290.0,4254.0,4272.0,4268.0,-10.0,-14.0,2235.0,38166.04,8718.0,,OP2602.SHF,,0.99953509995351,4270.013947001395,4258.019525801952,4288.0055788005575,4252.022315202232,4266.01580660158
OP.SHF,20251118,4272.0,4268.0,4266.0,4270.0,4152.0,4152.0,4222.0,-116.0,-46.0,2398.0,40501.63,9615.0,,OP2602.SHF,,0.99953509995351,4150.069735006973,4264.016736401673,4268.014876801488,4150.069735006973,4220.037192003719
OP.SHF,20251119,4152.0,4222.0,4154.0,4184.0,4132.0,4154.0,4152.0,-68.0,-70.0,2616.0,43462.31,10546.0,,OP2602.SHF,,0.99953509995351,4152.068805206881,4152.068805206881,4182.054858205485,4130.0790330079035,4150.069735006973
OP.SHF,20251120,4154.0,4152.0,4152.0,4180.0,4150.0,4154.0,4162.0,2.0,10.0,2711.0,45149.44,11531.0,,OP2602.SHF,,0.99953509995351,4152.068805206881,4150.069735006973,4178.056717805672,4148.070664807066,4160.065086006509
OP.SHF,20251121,4154.0,4162.0,4158.0,4182.0,4100.0,4100.0,4158.0,-62.0,-4.0,3093.0,51458.03,12392.0,,OP2602.SHF,,0.99953509995351,4098.093909809391,4156.066945606694,4180.0557880055785,4098.093909809391,4156.066945606694
OP.SHF,20251124,4100.0,4158.0,4100.0,4132.0,4090.0,4110.0,4108.0,-48.0,-50.0,2195.0,36082.37,12583.0,,OP2602.SHF,,0.99953509995351,4108.089260808926,4098.093909809391,4130.0790330079035,4088.0985588098556,4106.090190609019
OP.SHF,20251125,4110.0,4108.0,4100.0,4146.0,4100.0,4108.0,4126.0,0.0,18.0,2333.0,38518.9,13644.0,,OP2602.SHF,,0.99953509995351,4106.090190609019,4098.093909809391,4144.072524407253,4098.093909809391,4124.081822408182
OP.SHF,20251126,4108.0,4126.0,4108.0,4132.0,4106.0,4112.0,4116.0,-14.0,-10.0,3250.0,53511.86,14352.0,,OP2602.SHF,,0.99953509995351,4110.088331008833,4106.090190609019,4130.0790330079035,4104.091120409112,4114.086471408647
OP.SHF,20251127,4112.0,4116.0,4112.0,4146.0,4100.0,4128.0,4118.0,12.0,2.0,3208.0,52860.16,15559.0,,OP2602.SHF,,0.99953509995351,4126.080892608089,4110.088331008833,4144.072524407253,4098.093909809391,4116.085541608554
OP.SHF,20251128,4128.0,4118.0,4122.0,4126.0,4100.0,4120.0,4110.0,2.0,-8.0,3261.0,53624.86,16322.0,,OP2602.SHF,,0.99953509995351,4118.084611808461,4120.083682008368,4124.081822408182,4098.093909809391,4108.089260808926
OP.SHF,20251201,4120.0,4110.0,4126.0,4128.0,4108.0,4108.0,4118.0,-2.0,8.0,2803.0,46179.22,16412.0,,OP2602.SHF,,0.99953509995351,4106.090190609019,4124.081822408182,4126.080892608089,4106.090190609019,4116.085541608554
OP.SHF,20251202,4108.0,4118.0,4108.0,4154.0,4102.0,4146.0,4122.0,28.0,4.0,5117.0,84405.76,16900.0,,OP2602.SHF,,0.99953509995351,4144.072524407253,4106.090190609019,4152.068805206881,4100.092980009298,4120.083682008368
OP.SHF,20251203,4146.0,4122.0,4146.0,4186.0,4142.0,4184.0,4162.0,62.0,40.0,3474.0,57849.208,16918.0,,OP2602.SHF,,0.99953509995351,4182.054858205485,4144.072524407253,4184.053928405393,4140.074384007438,4160.065086006509
OP.SHF,20251204,4184.0,4162.0,4184.0,4192.0,4166.0,4170.0,4176.0,8.0,14.0,2721.0,45456.36,17074.0,,OP2602.SHF,,0.99953509995351,4168.061366806137,4182.054858205485,4190.051139005114,4164.063226406322,4174.058577405857
OP.SHF,20251205,4170.0,4176.0,4174.0,4186.0,4100.0,4106.0,4138.0,-70.0,-38.0,3571.0,59122.712,17503.0,,OP2602.SHF,,0.99953509995351,4104.091120409112,4172.0595072059505,4184.053928405393,4098.093909809391,4136.076243607624
OP.SHF,20251208,4106.0,4138.0,4102.0,4102.0,4024.0,4024.0,4046.0,-114.0,-92.0,4672.0,75634.392,18421.0,,OP2602.SHF,,0.99953509995351,4022.129242212924,4100.092980009298,4100.092980009298,4022.129242212924,4044.1190144119014
OP.SHF,20251209,4024.0,4046.0,4026.0,4034.0,3996.0,4008.0,4012.0,-38.0,-34.0,3735.0,59967.032,18532.0,,OP2602.SHF,,0.99953509995351,4006.136680613668,4024.1283124128313,4032.1245932124593,3994.142259414226,4010.134821013482
OP.SHF,20251210,4008.0,4012.0,4002.0,4032.0,3982.0,4024.0,4010.0,12.0,-2.0,3825.0,61365.2,18535.0,,OP2602.SHF,,0.99953509995351,4022.129242212924,4000.1394700139467,4030.125523012552,3980.1487680148766,4008.135750813575
OP.SHF,20251211,4024.0,4010.0,4012.0,4078.0,4002.0,4004.0,4042.0,-6.0,32.0,6128.0,99083.36,19162.0,,OP2602.SHF,,0.99953509995351,4002.138540213854,4010.134821013482,4076.1041376104135,4000.1394700139467,4040.1208740120874
OP.SHF,20251212,4004.0,4042.0,4008.0,4030.0,3982.0,3994.0,4006.0,-48.0,-36.0,3427.0,54923.192,19217.0,,OP2602.SHF,,0.99953509995351,3992.1431892143187,4006.136680613668,4028.1264528126453,3980.1487680148766,4004.1376104137607
OP.SHF,20251215,3994.0,4006.0,3990.0,4028.0,3980.0,4008.0,4006.0,2.0,0.0,3891.0,62371.456,18967.0,,OP2602.SHF,,0.99953509995351,4006.136680613668,3988.1450488145047,4026.127382612738,3978.14969781497,4004.1376104137607
OP.SHF,20251216,4008.0,4006.0,4000.0,4010.0,3982.0,3984.0,3996.0,-22.0,-10.0,2244.0,35881.528,19055.0,,OP2602.SHF,,0.99953509995351,3982.147838214784,3998.14039981404,4008.135750813575,3980.1487680148766,3994.142259414226
OP.SHF,20251217,3984.0,3996.0,3980.0,4006.0,3968.0,3976.0,3988.0,-20.0,-8.0,3760.0,59986.384,18460.0,,OP2602.SHF,,0.99953509995351,3974.151557415156,3978.14969781497,4004.1376104137607,3966.155276615528,3986.145978614598
OP.SHF,20251218,3976.0,3988.0,3960.0,4014.0,3960.0,3970.0,3984.0,-18.0,-4.0,3913.0,62385.24,18062.0,,OP2602.SHF,,0.99953509995351,3968.1543468154346,3958.1589958158993,4012.1338912133892,3958.1589958158993,3982.147838214784
OP.SHF,20251219,3970.0,3984.0,3960.0,3982.0,3950.0,3954.0,3964.0,-30.0,-20.0,5286.0,83853.048,16985.0,,OP2602.SHF,,0.99953509995351,3952.1617852161785,3958.1589958158993,3980.1487680148766,3948.1636448163645,3962.1571362157138
OP.SHF,20251222,3954.0,3964.0,3964.0,4028.0,3954.0,4026.0,3980.0,62.0,16.0,4894.0,77914.44,15992.0,,OP2602.SHF,,0.99953509995351,4024.1283124128313,3962.1571362157138,4026.127382612738,3952.1617852161785,3978.14969781497
OP.SHF,20251223,4026.0,3980.0,4018.0,4038.0,3998.0,4028.0,4012.0,48.0,32.0,5092.0,81746.616,14733.0,,OP2602.SHF,,0.99953509995351,4026.127382612738,4016.1320316132033,4036.1227336122734,3996.1413296141327,4010.134821013482
