ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
PF.ZCE,20201012,,5400.0,5798.0,5832.0,5750.0,5832.0,5808.0,432.0,408.0,51327.0,149061.29,19362.0,,PF2105.ZCE,,1.0,5832.0,5798.0,5832.0,5750.0,5808.0
PF.ZCE,20201013,5832.0,5808.0,5932.0,6042.0,5900.0,6042.0,6008.0,234.0,200.0,538024.0,1616111.39,77665.0,,PF2105.ZCE,,1.0,6042.0,5932.0,6042.0,5900.0,6008.0
PF.ZCE,20201014,6042.0,6008.0,6054.0,6138.0,5992.0,6104.0,6064.0,96.0,56.0,309822.0,939230.03,89404.0,,PF2105.ZCE,,1.0,6104.0,6054.0,6138.0,5992.0,6064.0
PF.ZCE,20201015,6104.0,6064.0,6126.0,6270.0,6112.0,6266.0,6204.0,202.0,140.0,559919.0,1736478.01,167776.0,,PF2105.ZCE,,1.0,6266.0,6126.0,6270.0,6112.0,6204.0
PF.ZCE,20201016,6266.0,6204.0,6224.0,6454.0,6224.0,6454.0,6342.0,250.0,138.0,1300979.0,4124979.79,251716.0,,PF2105.ZCE,,1.0,6454.0,6224.0,6454.0,6224.0,6342.0
PF.ZCE,20201019,6454.0,6342.0,6462.0,6596.0,6432.0,6596.0,6536.0,254.0,194.0,1458246.0,4765713.15,316768.0,,PF2105.ZCE,,1.0,6596.0,6462.0,6596.0,6432.0,6536.0
PF.ZCE,20201020,6596.0,6536.0,6602.0,6618.0,6482.0,6564.0,6546.0,28.0,10.0,1388290.0,4543772.14,306556.0,,PF2105.ZCE,,1.0,6564.0,6602.0,6618.0,6482.0,6546.0
PF.ZCE,20201021,6564.0,6546.0,6536.0,6586.0,6488.0,6500.0,6536.0,-46.0,-10.0,794840.0,2597013.23,288029.0,,PF2105.ZCE,,1.0,6500.0,6536.0,6586.0,6488.0,6536.0
PF.ZCE,20201022,6500.0,6536.0,6530.0,6546.0,6274.0,6274.0,6372.0,-262.0,-164.0,1221706.0,3891460.09,224512.0,,PF2105.ZCE,,1.0,6274.0,6530.0,6546.0,6274.0,6372.0
PF.ZCE,20201023,6274.0,6372.0,6252.0,6314.0,6214.0,6238.0,6270.0,-134.0,-102.0,646077.0,2025494.23,174759.0,,PF2105.ZCE,,1.0,6238.0,6252.0,6314.0,6214.0,6270.0
PF.ZCE,20201026,6238.0,6270.0,6236.0,6326.0,6228.0,6254.0,6274.0,-16.0,4.0,479646.0,1504593.52,172231.0,,PF2105.ZCE,,1.0,6254.0,6236.0,6326.0,6228.0,6274.0
PF.ZCE,20201027,6254.0,6274.0,6218.0,6286.0,6136.0,6144.0,6212.0,-130.0,-62.0,453060.0,1407140.59,170317.0,,PF2105.ZCE,,1.0,6144.0,6218.0,6286.0,6136.0,6212.0
PF.ZCE,20201028,6144.0,6212.0,6150.0,6206.0,6126.0,6178.0,6162.0,-34.0,-50.0,356361.0,1097950.29,163360.0,,PF2105.ZCE,,1.0,6178.0,6150.0,6206.0,6126.0,6162.0
PF.ZCE,20201029,6178.0,6162.0,6130.0,6176.0,6052.0,6058.0,6116.0,-104.0,-46.0,315482.0,964537.84,152349.0,,PF2105.ZCE,,1.0,6058.0,6130.0,6176.0,6052.0,6116.0
PF.ZCE,20201030,6058.0,6116.0,6008.0,6102.0,5990.0,6016.0,6044.0,-100.0,-72.0,237954.0,719049.32,138240.0,,PF2105.ZCE,,1.0,6016.0,6008.0,6102.0,5990.0,6044.0
PF.ZCE,20201102,6016.0,6044.0,6010.0,6172.0,6008.0,6094.0,6116.0,50.0,72.0,380653.0,1163881.19,142514.0,,PF2105.ZCE,,1.0,6094.0,6010.0,6172.0,6008.0,6116.0
PF.ZCE,20201103,6094.0,6116.0,6118.0,6162.0,6074.0,6076.0,6126.0,-40.0,10.0,195213.0,597845.72,145515.0,,PF2105.ZCE,,1.0,6076.0,6118.0,6162.0,6074.0,6126.0
PF.ZCE,20201104,6076.0,6126.0,6110.0,6114.0,6026.0,6066.0,6080.0,-60.0,-46.0,157732.0,479543.84,139596.0,,PF2105.ZCE,,1.0,6066.0,6110.0,6114.0,6026.0,6080.0
PF.ZCE,20201105,6066.0,6080.0,6080.0,6100.0,5966.0,5982.0,6034.0,-98.0,-46.0,159705.0,481779.12,147914.0,,PF2105.ZCE,,1.0,5982.0,6080.0,6100.0,5966.0,6034.0
PF.ZCE,20201106,5982.0,6034.0,5990.0,6004.0,5854.0,5888.0,5924.0,-146.0,-110.0,263988.0,781762.76,149173.0,,PF2105.ZCE,,1.0,5888.0,5990.0,6004.0,5854.0,5924.0
PF.ZCE,20201109,5888.0,5924.0,5880.0,5926.0,5858.0,5902.0,5894.0,-22.0,-30.0,153150.0,451362.23,145719.0,,PF2105.ZCE,,1.0,5902.0,5880.0,5926.0,5858.0,5894.0
PF.ZCE,20201110,5902.0,5894.0,6038.0,6124.0,5944.0,6006.0,6026.0,112.0,132.0,334924.0,1009108.47,137063.0,,PF2105.ZCE,,1.0,6006.0,6038.0,6124.0,5944.0,6026.0
PF.ZCE,20201111,6006.0,6026.0,6022.0,6112.0,6002.0,6066.0,6072.0,40.0,46.0,217347.0,659908.12,140201.0,,PF2105.ZCE,,1.0,6066.0,6022.0,6112.0,6002.0,6072.0
PF.ZCE,20201112,6066.0,6072.0,6080.0,6136.0,6038.0,6048.0,6088.0,-24.0,16.0,194634.0,592339.3,148000.0,,PF2105.ZCE,,1.0,6048.0,6080.0,6136.0,6038.0,6088.0
PF.ZCE,20201113,6048.0,6088.0,6040.0,6070.0,5934.0,5956.0,5992.0,-132.0,-96.0,168873.0,505966.12,145772.0,,PF2105.ZCE,,1.0,5956.0,6040.0,6070.0,5934.0,5992.0
PF.ZCE,20201116,5956.0,5992.0,5904.0,5990.0,5894.0,5964.0,5938.0,-28.0,-54.0,175421.0,520838.88,145686.0,,PF2105.ZCE,,1.0,5964.0,5904.0,5990.0,5894.0,5938.0
PF.ZCE,20201117,5964.0,5938.0,5990.0,6032.0,5940.0,5968.0,5988.0,30.0,50.0,158023.0,473071.58,147265.0,,PF2105.ZCE,,1.0,5968.0,5990.0,6032.0,5940.0,5988.0
PF.ZCE,20201118,5968.0,5988.0,5960.0,6024.0,5922.0,6000.0,5982.0,12.0,-6.0,149577.0,447387.66,147703.0,,PF2105.ZCE,,1.0,6000.0,5960.0,6024.0,5922.0,5982.0
