ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
PG.DCE,20200330,,2600.0,2350.0,2438.0,2318.0,2366.0,2379.0,-234.0,-221.0,85116.0,405081.09,10171.0,,PG2011.DCE,,1.0,2366.0,2350.0,2438.0,2318.0,2379.0
PG.DCE,20200331,2366.0,2379.0,2430.0,2545.0,2404.0,2545.0,2513.0,166.0,134.0,89839.0,451635.6,18891.0,,PG2011.DCE,,1.0,2545.0,2430.0,2545.0,2404.0,2513.0
PG.DCE,20200401,2545.0,2513.0,2547.0,2642.0,2530.0,2624.0,2598.0,111.0,85.0,199435.0,1036575.92,21955.0,,PG2011.DCE,,1.0,2624.0,2547.0,2642.0,2530.0,2598.0
PG.DCE,20200402,2624.0,2598.0,2644.0,2779.0,2607.0,2779.0,2687.0,181.0,89.0,206057.0,1107458.42,26486.0,,PG2011.DCE,,1.0,2779.0,2644.0,2779.0,2607.0,2687.0
PG.DCE,20200403,2779.0,2687.0,2790.0,2875.0,2732.0,2875.0,2804.0,188.0,117.0,323535.0,1814397.98,35752.0,,PG2011.DCE,,1.0,2875.0,2790.0,2875.0,2732.0,2804.0
PG.DCE,20200407,2875.0,2804.0,2920.0,3063.0,2913.0,3019.0,3005.0,215.0,201.0,430450.0,2587402.47,48247.0,,PG2011.DCE,,1.0,3019.0,2920.0,3063.0,2913.0,3005.0
PG.DCE,20200408,3019.0,3005.0,2986.0,3014.0,2891.0,2939.0,2953.0,-66.0,-52.0,494076.0,2918910.9,49156.0,,PG2011.DCE,,1.0,2939.0,2986.0,3014.0,2891.0,2953.0
PG.DCE,20200409,2939.0,2953.0,2980.0,3044.0,2964.0,3018.0,3005.0,65.0,52.0,457508.0,2750442.06,45765.0,,PG2011.DCE,,1.0,3018.0,2980.0,3044.0,2964.0,3005.0
PG.DCE,20200410,3018.0,3005.0,2930.0,3022.0,2913.0,3021.0,2971.0,16.0,-34.0,310584.0,1845551.32,46292.0,,PG2011.DCE,,1.0,3021.0,2930.0,3022.0,2913.0,2971.0
PG.DCE,20200413,3021.0,2971.0,3075.0,3178.0,3075.0,3139.0,3127.0,168.0,156.0,400984.0,2508111.09,57076.0,,PG2011.DCE,,1.0,3139.0,3075.0,3178.0,3075.0,3127.0
PG.DCE,20200414,3139.0,3127.0,3146.0,3166.0,3087.0,3159.0,3124.0,32.0,-3.0,327672.0,2047836.93,59068.0,,PG2011.DCE,,1.0,3159.0,3146.0,3166.0,3087.0,3124.0
PG.DCE,20200415,3159.0,3124.0,3116.0,3336.0,3108.0,3243.0,3249.0,119.0,125.0,803635.0,5222047.9,82717.0,,PG2011.DCE,,1.0,3243.0,3116.0,3336.0,3108.0,3249.0
PG.DCE,20200416,3243.0,3249.0,3250.0,3312.0,3178.0,3265.0,3239.0,16.0,-10.0,738801.0,4787102.23,82774.0,,PG2011.DCE,,1.0,3265.0,3250.0,3312.0,3178.0,3239.0
PG.DCE,20200417,3265.0,3239.0,3296.0,3330.0,3128.0,3188.0,3199.0,-51.0,-40.0,727177.0,4653131.1,74000.0,,PG2011.DCE,,1.0,3188.0,3296.0,3330.0,3128.0,3199.0
PG.DCE,20200420,3188.0,3199.0,3088.0,3226.0,3080.0,3221.0,3154.0,22.0,-45.0,500458.0,3157558.41,75752.0,,PG2011.DCE,,1.0,3221.0,3088.0,3226.0,3080.0,3154.0
PG.DCE,20200421,3221.0,3154.0,3200.0,3266.0,3132.0,3240.0,3198.0,86.0,44.0,767821.0,4912448.42,91434.0,,PG2011.DCE,,1.0,3240.0,3200.0,3266.0,3132.0,3198.0
PG.DCE,20200422,3240.0,3198.0,3182.0,3220.0,3065.0,3129.0,3131.0,-69.0,-67.0,995470.0,6234542.95,81566.0,,PG2011.DCE,,1.0,3129.0,3182.0,3220.0,3065.0,3131.0
PG.DCE,20200423,3129.0,3131.0,3169.0,3350.0,3147.0,3350.0,3275.0,219.0,144.0,744746.0,4878662.75,94323.0,,PG2011.DCE,,1.0,3350.0,3169.0,3350.0,3147.0,3275.0
PG.DCE,20200424,3350.0,3275.0,3350.0,3423.0,3315.0,3400.0,3367.0,125.0,92.0,784376.0,5283524.48,97404.0,,PG2011.DCE,,1.0,3400.0,3350.0,3423.0,3315.0,3367.0
